岫 峀
麵 麺
寳 寶
胷 胸
貳 二
妍 姸
瑯 琅
舶 艊
咲 笑
兇 凶
秊 秊
溼 濕
孽 孼
遑 徨
蘖 蘗
彷 仿
聆 聆
捶 搥
漱 潄
舎 舍
裙 帬
糠 穅
刈 苅
廼 乃
彊 强
虜 虜
劑 剤
佞 侫
淋 淋
瞪 眙
札 箚
鍛 煅
螢 蛍
壘 塁
愽 博
鑛 礦
涸 凅
陝 陜
旭 旯
霍 癨
媿 愧
礪 礪
茆 茅
粹 粋
糖 糖
頤 頉
辣 辢
仝 同
份 彬
冗 宂
虐 乇
嬾 懶
搥 捶
孃 娘
擣 搗
嚙 齧
核 覈
吁 籲
碌 碌
迂 遇
鏁 鎖
姬 姫
堦 階
巔 巓
蟒 蠎
醋 酢
耿 炅
豺 犲
糊 胡
賔 賓
姉 姊
啖 啗
燎 燎
芸 藝
濶 闊
咀 嘴
慄 慄
齩 咬
妊 姙
襴 幱
舡 船
澀 澁
飼 飼
恤 賉
蔵 藏
薑 姜
齧 嚙
卍 卐
彿 髴
駄 馱
卄 廿
俞 兪
懽 歡
抉 刔
卸 缷
暎 映
稿 稾
頼 賴
諠 喧
讐 仇
噪 譟
冝 宜
鉅 巨
葫 胡
舘 館
姜 薑
鬻 粥
溉 漑
翱 翺
笻 筇
皂 皁
詶 酬
尽 盡
罹 罹
麄 粗
羮 羹
捴 總
駢 騈
鞍 鞌
廳 廰
尠 鮮
羚 羚
妒 妬
墖 塔
盍 盇
扵 于
椒 茭
歧 岐
殻 殼
仏 佛
駁 駮
冐 冒
櫓 櫓
濬 浚
鵞 鵝
楠 枏
桌 棹
砧 碪
蟇 蟆
躲 躱
廩 稟
畆 畝
駈 驅
忞 暋
僭 僣
繢 繪
磊 磊
拕 拖
搔 掻
罐 缶
峩 峨
肋 肋
崎 埼
觔 斤
佈 布
犂 犁
酧 酬
霸 覇
髣 仿
溜 溜
轢 轢
胄 冑
漾 瀁
襪 韈
駱 駱
舖 鋪
凄 淒
悽 淒
榆 楡
髴 彿
勦 剿
賛 贊
羝 牴
埜 野
皋 皐
捍 扞
処 處
炯 烱
彙 彚
徳 德
洟 涕
夥 伙
尓 爾
呆 騃
噐 器
姻 婣
