砖 磚
砗 硨
砚 硯
砺 礪
砻 礱
砾 礫
础 礎
硁 硜
硕 碩
硖 硤
硗 磽
硙 磑
碛 磧
碜 磣
祃 禡
祎 禕
祯 禎
祷 禱
祸 禍
积 積
秽 穢
秾 穠
税 稅
稣 穌
稳 穩
穑 穡
窍 竅
窎 窵
窜 竄
窥 窺
窦 竇
窭 窶
竖 竪
竞 競
笃 篤
笕 筧
笺 箋
笼 籠
笾 籩
筚 篳
筛 篩
筜 簹
筝 箏
筹 籌
筼 篔
签 簽
简 簡
箦 簀
箧 篋
箨 籜
箩 籮
箪 簞
箫 簫
篑 簣
篓 簍
篮 籃
簖 籪
籁 籟
类 類
粝 糲
粪 糞
糁 糝
紧 緊
絷 縶
纠 糾
纡 紆
红 紅
纣 紂
纤 纖
纥 紇
约 約
级 級
纨 紈
纩 纊
纪 紀
纫 紉
纬 緯
纭 紜
纮 紘
纯 純
纰 紕
纱 紗
纲 綱
纳 納
纴 紝
纵 縱
纶 綸
纷 紛
纸 紙
纹 紋
纺 紡
纻 紵
纼 紖
纽 紐
纾 紓
线 綫
绀 紺
绁 紲
绂 紱
练 練
组 組
绅 紳
细 細
织 織
终 終
绉 縐
绊 絆
绋 紼
绌 絀
绍 紹
绎 繹
经 經
绐 紿
绑 綁
绒 絨
结 結
绔 絝
绕 繞
绖 絰
绘 繪
给 給
绚 絢
绛 絳
络 絡
绝 絶
绞 絞
统 統
绠 綆
绡 綃
绢 絹
绣 綉
绤 綌
绥 綏
绦 絛 縧
继 繼
绨 綈
绩 績
绪 緒
绫 綾
续 續
绮 綺
绯 緋
绰 綽
绲 緄
绳 繩
维 維
绵 綿
绶 綬
绷 綳
绸 綢
绹 綯
绺 綹
绻 綣
综 綜
绽 綻
绾 綰
绿 緑
缀 綴
缁 緇
缃 緗
缄 緘
缅 緬
缆 纜
缇 緹
缈 緲
缉 緝
缊 縕
缋 繢
缌 緦
缍 綞
缎 緞
缏 緶
缑 緱
缒 縋
缓 緩
缔 締
缕 縷
编 編
缗 緡
缘 緣
缙 縉
缚 縛
缛 縟
缜 縝
缝 縫
缞 縗
缟 縞
缠 纏
缡 縭
缢 縊
缣 縑
缤 繽
缥 縹
缦 縵
缧 縲
缨 纓
缩 縮
缪 繆
缫 繅
缬 纈
缭 繚
缮 繕
缯 繒
缰 韁
缱 繾
缲 繰
缳 繯
缴 繳
缵 纘
罂 罌
罚 罰
罢 罷
罴 羆
羁 羈
翘 翹
耢 耮
耧 耬
耸 聳
聂 聶
聋 聾
职 職
聍 聹
聩 聵
聪 聰
肃 肅
肠 腸
肾 腎
肿 腫
胀 脹
胁 脅
胧 朧
胪 臚
胫 脛
胶 膠
脍 膾
脏 臟
脐 臍
脑 腦
脓 膿
脔 臠
脱 脫
脶 腡
脸 臉
腻 膩
腼 靦
腽 膃
腾 騰
膑 臏
舆 輿
舣 艤
舰 艦
舱 艙
舻 艫
艰 艱
艳 艷
艺 藝
节 節
芈 羋
芗 薌
芜 蕪
苁 蓯
苇 葦
苈 藶
苋 莧
苌 萇
苍 蒼
苎 苧
苏 蘇
茎 莖
茏 蘢
茑 蔦
茔 塋
茕 煢
茧 繭
荙 薘
荚 莢
荛 蕘
荜 蓽
荞 蕎
荟 薈
荠 薺
荡 盪 蕩
荤 葷
荥 滎
荧 熒
荩 藎
荪 蓀
荫 蔭
荬 蕒
药 葯 藥
莱 萊
莲 蓮
莳 蒔
莴 萵
莶 薟
获 獲
莸 蕕
莹 瑩
莺 鶯
莼 蓴
萝 蘿
萤 螢
萦 縈
萧 蕭
萨 薩
蒇 蕆
蒉 蕢
蒌 蔞
蓝 藍
蓟 薊
蓠 蘺
蓣 蕷
蓥 鎣
蓦 驀
蔷 薔
蔺 藺
蔼 藹
蕰 薀
蕲 蘄
蕴 藴
薮 藪
藓 蘚
虏 虜
虑 慮
虽 雖
虾 蝦
虿 蠆
蚀 蝕
蚁 蟻
蚂 螞
蚬 蜆
蛎 蠣
蛮 蠻
蛰 蟄
蛲 蟯
蛳 螄
蛴 蠐
蜕 蛻
蜗 蝸
蝈 蟈
蝉 蟬
蝼 螻
