膾 脍
組 组
訃 讣
煬 炀
絞 绞
猻 狲
嚲 亸
繢 缋
盪 荡
繭 茧
謎 谜
癘 疠
蟄 蛰
瀝 沥
錠 锭
躊 踌
襯 衬
浹 浃
硯 砚
釵 钗
鏘 锵
詛 诅
嶼 屿
崢 峥
詆 诋
銓 铨
軻 轲
驥 骥
賚 赉
璫 珰
涇 泾
轢 轹
瘧 疟
嚇 吓
嶸 嵘
鏗 铿
嗎 吗
嘔 呕
饅 馒
顙 颡
鑠 铄
駱 骆
鰲 鳌
幀 帧
諺 谚
愴 怆
緬 缅
繆 缪
鷗 鸥
屨 屦
臉 脸
熒 荧
撻 挞
窩 窝
贄 贽
賁 贲
觴 觞
謐 谧
攛 撺
萇 苌
躑 踯
軾 轼
魎 魉
彙 汇
輞 辋
閔 闵
謠 谣
臚 胪
攙 搀
賑 赈
紗 纱
硨 砗
鑾 銮
牘 牍
綾 绫
濺 溅
綫 线
穡 穑
縹 缥
礦 矿
濾 滤
檜 桧
隕 陨
篩 筛
斃 毙
詬 诟
駟 驷
搗 捣
閨 闺
礎 础
顓 颛
懌 怿
聶 聂
癲 癫
購 购
簣 篑
閬 阆
俠 侠
纍 累
賭 赌
廂 厢
僂 偻
紂 纣
鉛 铅
儕 侪
諗 谂
釀 酿
賄 贿
囀 啭
鴆 鸩
煒 炜
墾 垦
糾 纠
巋 岿
嘖 啧
繽 缤
綏 绥
柵 栅
嫗 妪
奐 奂
郵 邮
雛 雏
崗 岗
謔 谑
燉 炖
糝 糁
暈 晕
賃 赁
魘 魇
鴟 鸱
氳 氲
蘚 藓
僥 侥
渙 涣
輾 辗
譴 谴
碼 码
鏟 铲
蘋 苹
凱 凯
飭 饬
繚 缭
艷 艳
顫 颤
締 缔
饋 馈
瓚 瓒
顱 颅
螻 蝼
餒 馁
驤 骧
鸝 鹂
鉞 钺
羆 罴
訢 䜣
闓 闿
勛 勋
鐶 镮
龔 龚
鑼 锣
傴 伛
幃 帏
嬪 嫔
鄒 邹
誆 诓
懾 慑
噯 嗳
鯤 鲲
鼉 鼍
纘 缵
鮑 鲍
輅 辂
蝸 蜗
黿 鼋
鳶 鸢
鶉 鹑
騾 骡
詫 诧
愷 恺
嶇 岖
褻 亵
鵑 鹃
釤 钐
媼 媪
癬 癣
颼 飕
躓 踬
轄 辖
譙 谯
攣 挛
貺 贶
臠 脔
訕 讪
闠 阓
鷥 鸶
誾 訚
欒 栾
紡 纺
燾 焘
殮 殓
緡 缗
纊 纩
闈 闱
繳 缴
絛 绦
癭 瘿
朧 胧
緲 缈
籙 箓
穫 获
潯 浔
餞 饯
詁 诂
綬 绶
壙 圹
摳 抠
餿 馊
騖 骛
圇 囵
淥 渌
緋 绯
鵂 鸺
鬍 胡
窶 窭
褲 裤
曄 晔
籮 箩
鬆 松
廠 厂
蜆 蚬
銛 铦
鶩 鹜
樺 桦
鈸 钹
縳 䌸
紵 纻
闤 阛
駙 驸
譖 谮
戱 戯
騙 骗
轎 轿
銚 铫
絢 绚
鐃 铙
顥 颢
鋼 钢
弒 弑
黷 黩
燁 烨
邐 逦
聵 聩
棧 栈
摟 搂
襖 袄
撝 㧑
縶 絷
嘮 唠
搶 抢
壟 垄
濘 泞
鏌 镆
毆 殴
憊 惫
譎 谲
診 诊
縑 缣
駑 驽
錮 锢
縊 缢
慤 悫
閾 阈
軼 轶
擷 撷
磯 矶
蟣 虮
鄲 郸
賂 赂
輳 辏
飈 飚
蹕 跸
礱 砻
糲 粝
飫 饫
奩 奁
覬 觊
閶 阊
儐 傧
訐 讦
綢 绸
搵 揾
塋 茔
漣 涟
嘍 喽
毿 毵
鯢 鲵
澇 涝
暘 旸
齠 龆
閹 阉
賡 赓
錙 锱
睜 睁
鶚 鹗
潁 颍
獺 獭
韞 韫
犖 荦
箏 筝
鍠 锽
鈷 钴
峴 岘
殤 殇
糶 粜
筴 䇲
裊 袅
覯 觏
鵓 鹁
攤 摊
蓽 荜
軋 轧
鋟 锓
覘 觇
籜 箨
飴 饴
嗇 啬
綉 绣
鑞 镴
鬮 阄
擠 挤
墊 垫
鵒 鹆
攖 撄
兗 兖
僑 侨
鑷 镊
瀕 濒
闖 闯
洶 汹
堊 垩
幘 帻
鶹 鹠
蠆 虿
驍 骁
磑 硙
韁 缰
貰 贳
轤 轳
戇 戆
櫚 榈
駸 骎
壠 垅
絰 绖
醞 酝
鉸 铰
蛺 蛱
鯁 鲠
齪 龊
瑋 玮
齗 龂
匯 汇
蒔 莳
颱 台
氂 牦
滸 浒
簽 签
櫛 栉
懍 懔
紕 纰
莢 荚
窪 洼
鉉 铉
鎣 蓥
黶 黡
詡 诩
紈 纨
綣 绻
瀨 濑
銑 铣
黽 黾
瀋 沈 渖
麽 么
臏 膑
輓 挽
煢 茕
闞 阚
鎡 镃
謄 誊
頎 颀
躕 蹰
睞 睐
襤 褴
薊 蓟
詖 诐
閎 闳
鋌 铤
諶 谌
紉 纫
惲 恽
縞 缟
駘 骀
驂 骖
纈 缬
鑱 镵
狽 狈
颻 飖
啓 启
儷 俪
紿 绐
攄 摅
閽 阍
糴 籴
鈐 钤
賬 账
螄 蛳
妝 妆
櫨 栌
簞 箪
褌 裈
縟 缛
窯 窑
馹 驲
闃 阒
縝 缜
紘 纮
頊 顼
噦 哕
鶿 鹚
侖 仑
賻 赙
紬 䌷
鈿 钿
騅 骓
贇 赟
饈 馐
瀏 浏
綆 绠
諜 谍
縕 缊
憮 怃
餡 馅
謊 谎
飆 飙
曖 暧
塤 埙
苧 苎
瘋 疯
磣 碜
廄 厩
摻 掺
偵 侦
蕘 荛
檣 樯
誄 诔
縲 缧
鳬 凫
齔 龀
齷 龌
媧 娲
錚 铮
覡 觋
滬 沪
楨 桢
濼 泺
齲 龋
騏 骐
韙 韪
殲 歼
懣 懑
輛 辆
薺 荠
灝 灏
澱 淀
蕕 莸
薔 蔷
噠 哒
綃 绡
塏 垲
嚶 嘤
喎 㖞
鉀 钾
艤 舣
騮 骝
閈 闬
鰐 鳄
鑣 镳
紲 绁
賠 赔
鐔 镡
嶄 崭
鴝 鸲
渦 涡
鍔 锷
摯 挚
闋 阕
瀲 潋
鎬 镐
蹌 跄
軔 轫
蟯 蛲
鸛 鹳
讜 谠
鷙 鸷
鈕 钮
擋 挡
熅 煴
壼 壸
躂 跶
釗 钊
嘵 哓
藺 蔺
媽 妈
辮 辫
詒 诒
瘻 瘘
檳 槟
鏑 镝
倀 伥
詗 诇
驊 骅
櫻 樱
嶔 嵚
鰻 鳗
齟 龃
莧 苋
棖 枨
鑌 镔
閂 闩
紱 绂
掙 挣
瞶 瞆
壩 坝
餼 饩
瞼 睑
樅 枞
嚨 咙
靚 靓
鰥 鳏
騶 驺
賫 赍
緱 缑
緹 缇
閘 闸
檮 梼
鏞 镛
鐮 镰
飣 饤
緗 缃
齏 齑
懟 怼
滎 荥
獮 狝
瀘 泸
鷦 鹪
諤 谔
饜 餍
嚌 哜
韃 鞑
齬 龉
諉 诿
斕 斓
髖 髋
鱠 鲙
綳 绷
覦 觎
櫪 枥
鴞 鸮
磽 硗
襠 裆
囈 呓
薈 荟
贛 赣
檉 柽
鷸 鹬
櫳 栊
櫝 椟
嶢 峣
鍚 钖
鎩 铩
鏐 镠
鷯 鹩
簀 箦
櫟 栎
阪 坂
黌 黉
薌 芗
儺 傩
掄 抡
噲 哙
嘩 哗
閥 阀
鱷 鳄
鍤 锸
鎰 镒
釅 酽
謚 谥
咼 呙
慪 怄
穠 秾
鸕 鸬
鮫 鲛
譫 谵
艦 舰
鱔 鳝
絨 绒
筧 笕
厙 厍
頏 颃
澠 渑
鵾 鹍
罌 罂
澮 浍
礬 矾
櫬 榇
鰍 鳅
攏 拢
硜 硁
槧 椠
鄆 郓
藶 苈
欖 榄
皚 皑
餕 馂
颶 飓
鱣 鳣
劊 刽
僨 偾
輊 轾
瘍 疡
瀧 泷
閿 阌
縗 缞
鮎 鲇
餺 馎
慫 怂
鏹 镪
諏 诹
鸇 鹯
趲 趱
嚳 喾
鯀 鲧
謖 谡
聹 聍
黲 黪
靦 䩄 腼
艫 舻
飥 饦
酇 酂
嬋 婵
瀅 滢
靨 靥
硤 硖
愨 悫
繾 缱
饞 馋
綁 绑
獫 猃
齕 龁
譸 诪
癤 疖
褸 褛
贐 赆
鍍 镀
輈 辀
貟 贠
瑒 玚
錡 锜
欏 椤
賅 赅
幬 帱
鵷 鹓
紓 纾
躪 躏
凈 净
綌 绤
擄 掳
鴒 鸰
槳 桨
奼 姹
鏵 铧
贜 赃
鄖 郧
癇 痫
蹺 跷
驄 骢
綈 绨
餳 饧
詼 诙
詿 诖
詘 诎
贗 赝
鷁 鹢
鰓 鳃
嫻 娴
蹣 蹒
螮 䗖
貙 䝙
嶴 岙
壚 垆
愾 忾
緞 缎
囅 冁
癥 症
躚 跹
誶 谇
鍇 锴
鵁 䴔
賙 赒
訒 讱
摜 掼
嶧 峄
頲 颋
鎸 镌
鶡 鹖
灃 沣
篳 筚
鉦 钲
屓 屃
蔞 蒌
奬 奖
鵮 鹐
齦 龈
鶺 鹡
擱 搁
滻 浐
骯 肮
嶁 嵝
鋏 铗
絀 绌
鏇 镟
蓀 荪
鍥 锲
徠 徕
桿 杆
俁 俣
勩 勚
嚦 呖
贔 赑
軺 轺
囁 嗫
吶 呐
酈 郦
褘 袆
猙 狰
諝 谞
飩 饨
譾 谫
輜 辎
梲 棁
梔 栀
繰 缲
衹 只
獪 狯
媯 妫
髒 脏
澦 滪
瀠 潆
葯 药
轔 辚
儈 侩
鶄 䴖
闒 阘
懨 恹
鏢 镖
鏨 錾
銹 锈
螿 螀
蓴 莼
縧 绦
蕎 荞
鈹 铍
戩 戬
戔 戋
撟 挢
鶬 鸧
禕 祎
薳 䓕
鎪 锼
蠣 蛎
蕢 蒉
頦 颏
剮 剐
顎 颚
銼 锉
縋 缒
鮓 鲊
蔦 茑
鮒 鲋
颭 飐
鈺 钰
諼 谖
賕 赇
餛 馄
傖 伧
瀦 潴
鷖 鹥
勱 劢
鮪 鲔
儸 㑩
録 录
傯 偬
騭 骘
萵 莴
蠐 蛴
鏝 镘
鐝 镢
鑹 镩
陘 陉
癱 瘫
灤 滦
孿 孪
滷 卤
簍 篓
紼 绋
贋 赝
鬩 阋
蘺 蓠
藎 荩
鐲 镯
掗 挜
顴 颧
鱸 鲈
繮 缰
郟 郏
赬 赪
杴 锨
頜 颌
緄 绲
鏜 镗
飪 饪
欞 棂
剴 剀
籩 笾
釃 酾
檟 槚
氌 氇
蘢 茏
鎦 镏
訌 讧
繃 绷
蕷 蓣
紖 纼
鑲 镶
鵜 鹈
嬙 嫱
瘓 痪
魴 鲂
魛 鱽
檔 档
鹺 鹾
嗶 哔
鋣 铘
冪 幂
曨 昽
癉 瘅
湞 浈
讞 谳
綯 绹
紝 纴
矓 眬
鯽 鲫
餖 饾
颸 飔
鐐 镣
熲 颎
鉺 铒
篔 筼
曏 向
繅 缫
噥 哝
螞 蚂
孌 娈
癆 痨
壈 𡒄
鉿 铪
鮭 鲑
蕆 蒇
鎛 镈
賧 赕
韉 鞯
碭 砀
銃 铳
