SD-A657,􄙗,vā,vaa,𑖪𑖯
SD-A658,􄙘,vi,vi,𑖪𑖰
SD-A659,􄙙,vī,vii,𑖪𑖱
SD-A65A,􄙚,vu,vu,𑖪𑖲
SD-A65C,􄙜,ve,ve,𑖪𑖸
SD-A65D,􄙝,vai,vai,𑖪𑖹
SD-A65E,􄙞,vo,vo,𑖪𑖺
SD-A660,􄙠,vaṃ,va.m,𑖪𑖽
SD-A661,􄙡,vaḥ,va.h,𑖪𑖾
SD-A662,􄙢,śa,`sa,𑖫
SD-A663,􄙣,śā,`saa,𑖫𑖯
SD-A664,􄙤,śi,`si,𑖫𑖰
SD-A665,􄙥,śī,`sii,𑖫𑖱
SD-A666,􄙦,śu,`su,𑖫𑖲
SD-A667,􄙧,śū,`suu,𑖫𑖳
SD-A668,􄙨,śe,`se,𑖫𑖸
SD-A669,􄙩,śai,`sai,𑖫𑖹
SD-A66A,􄙪,śo,`so,𑖫𑖺
SD-A66B,􄙫,śau,`sau,𑖫𑖻
SD-A66C,􄙬,śaṃ,`sa.m,𑖫𑖽
SD-A66D,􄙭,śaḥ,`sa.h,𑖫𑖾
SD-A66E,􄙮,ṣa,.sa,𑖬
SD-A66F,􄙯,ṣā,.saa,𑖬𑖯
SD-A670,􄙰,ṣi,.si,𑖬𑖰
SD-A671,􄙱,ṣī,.sii,𑖬𑖱
SD-A674,􄙴,ṣe,.se,𑖬𑖸
SD-A675,􄙵,ṣai,.sai,𑖬𑖹
SD-A676,􄙶,ṣo,.so,𑖬𑖺
SD-A678,􄙸,ṣaṃ,.sa.m,𑖬𑖽
SD-A679,􄙹,ṣaḥ,.sa.h,𑖬𑖾
SD-A67A,􄙺,sa,sa,𑖭
SD-A67B,􄙻,sā,saa,𑖭𑖯
SD-A67C,􄙼,si,si,𑖭𑖰
SD-A67D,􄙽,sī,sii,𑖭𑖱
SD-A67E,􄙾,su,su,𑖭𑖲
SD-A6A2,􄚢,se,se,𑖭𑖸
SD-A6A3,􄚣,sai,sai,𑖭𑖹
SD-A6A4,􄚤,so,so,𑖭𑖺
SD-A6A5,􄚥,sau,sau,𑖭𑖻
SD-A6A6,􄚦,saṃ,sa.m,𑖭𑖽
SD-A6A7,􄚧,saḥ,sa.h,𑖭𑖾
SD-A6A8,􄚨,ha,ha,𑖮
SD-A6A9,􄚩,hā,haa,𑖮𑖯
SD-A6AA,􄚪,hi,hi,𑖮𑖰
SD-A6AB,􄚫,hī,hii,𑖮𑖱
