U+2E761 𮝡 ⿰車恥
U+56F1 囱 ⿱丿⿴囗夊
U+4434 䐴 ⿱既月
U+267A7 𦞧 ⿰月留
U+4ED2 仒 ⿱𠆢⺀
U+7BED 篭 ⿱𥫗竜
U+56F3 図 ⿴囗⿱⺀乂
U+7758 睘 ⿳罒𠮛𧘇
U+23DC9 𣷉 ⿰氵亟
U+2424A 𤉊 ⿰火𭥐
U+2DD2E 𭴮 ⿱孚灬
U+219D9 𡧙 ⿱宀卯
U+3C1D 㰝 ⿰巳欠
U+2E9C7 𮧇 ⿹𢦏非
U+22054 𢁔 ⿱厶巾
U+26867 𦡧 ⿰月業
U+43F8 䏸 ⿰月吾
U+2E991 𮦑 ⿱雨肙
U+351D 㔝 ⿰兩力
U+295DD 𩗝 ⿺風䖝
U+2238A 𢎊 ⿰𰗑弋
U+21F66 𡽦 ⿱山廖
U+29FF9 𩿹 ⿰去鳥
U+4B2D 䬭 ⿱叨食
U+379E 㞞 ⿸尸從
U+23123 𣄣 ⿰方與
U+2D926 𭤦 ⿰蜀斤
U+7ECF 经 ⿰纟𢀖
U+6807 标 ⿰木示
U+30272 𰉲 ⿰土免
U+2CBC6 𬯆 ⿰阝易
U+2B755 𫝕 𫝕
U+25A94 𥪔 ⿰立易
U+20324 𠌤 ⿰亻⿱𠦅心
U+26669 𦙩 ⿱耂肉
U+3F31 㼱 ⿳北㓁瓦
U+2C6EC 𬛬 ⿱自夰
U+25203 𥈃 ⿰目叜
U+268DB 𦣛 ⿰月戀
U+2A528 𪔨 ⿱鼓革
U+28B39 𨬹 ⿰釒⿳丿罒乑
U+24DD6 𤷖 ⿸疒夌
U+27749 𧝉 ⿰衤黹
U+273EC 𧏬 ⿰虫蚩
U+2279B 𢞛 ⿰忄𠣬
U+27973 𧥳 ⿰訁㞢
U+256C7 𥛇 ⿰礻𢏚
U+25867 𥡧 ⿰禾虘
U+24FD1 𤿑 ⿺尣皮
U+20A23 𠨣 ⿱卯亞
U+29C72 𩱲 ⿱⿲弓翟弓鬲
U+22832 𢠲 ⿰忄富
