tǔn tun3
shù shù
jǔ jǔ
cì cì
xuān xuān
càn càn
běng běng
qù qù
yuè yuè
cóng cóng
lún lún
pīng pīng
jiǒng jiǒng
céng céng
cù cù
héng héng
dū dū
shāo shāo
zhuī zhuī
sōu sōu
niáng niáng
guā guā
min min
tōng tōng
zhāo zhāo
pín pín
nèn nèn
tǎo tǎo
téng téng
dīng dīng
yōu yōu
rán rán
pāng pāng
kuǐ kuǐ
gé gé
shǐ shǐ
zǎo zǎo
niān niān
sù sù
nài nài
liào liào
sha sha
qún qún
bēng bēng
rún rún
xiáng xiáng
mē mē
dǎ dǎ
shou shou
lào lào
lòu lòu
wā wā
lou lou
rì rì
kuài kuài
lǐn lǐn
shí shí
lǎn lǎn
sǎo sǎo
zhuǎn zhuǎn
lèng lèng
gén gén
kuáng kuáng
ā ā
zè zè
nán nán
tǔ tǔ
méi méi
tàng tàng
chán chán
nǐng nǐng
wèn wèn
chǎi chǎi
pǎo pǎo
yuě yuě
pó pó
zhǎ zhǎ
shūn shūn
xū xū
ǎng ǎng
piáo piáo
pàn pàn
bei bei
sǎng sǎng
xiàn xiàn
diào diào
cuǐ cuǐ
zhāng zhāng
wǎn wǎn
sāo sāo
suān suān
gè gè
liǎo liǎo
mǒu mǒu
kàng kàng
shài shài
ěr ěr
xiù xiù
fèng fèng
piē piē
shuà shuà
shuàng shuàng
xiào xiào
jiǎn jiǎn
xuǎn xuǎn
wěng wěng
rǎn rǎn
luò luò
tīng tīng
mī mī
cāo cāo
qiǎng qiǎng
pián pián
pang pang
juē juē
tié tié
wō wō
dáo dáo
pútí pútí
duǐ duǐ
xiāo xiāo
chǎn chǎn
bū bū
shǒu shǒu
miù miù
tōu tōu
ài ài
jiāng jiāng
yā yā
chuǎi chuǎi
quán quán
zhǔn zhǔn
āo āo
pā pā
lōng lōng
nào nào
liē liē
zi zi
hē hē
zhài zhài
á á
hǒng hǒng
wǎ wǎ
cà cà
bié bié
suo suo
zhòu zhòu
fōu fōu
zuo zuo
mòu mòu
shi shi
dèn dèn
cǒu cǒu
pēng pēng
chòng chòng
zhǎng zhǎng
dān dān
yóng yóng
chū chū
tiáo tiáo
bi bi
shǎng shǎng
xuàn xuàn
sē sē
áng áng
huō huō
láo láo
nüè nüè
cha cha
rǒng rǒng
pǎn pǎn
xiòng xiòng
yòu yòu
zú zú
cuō cuō
hào hào
kā kā
gá gá
zuó zuó
shǔn shǔn
rǎo rǎo
tòng tòng
dé dé
dàng dàng
wà wà
pàng pàng
shang shang
tiǎo tiǎo
kāng kāng
ēi ēi
zhái zhái
hāng hāng
sòng sòng
shān shān
tǒu tǒu
gào gào
gē gē
jué jué
chōng chōng
kūn kūn
chú chú
bāo bāo
gōu gōu
ba ba
dōu dōu
sài sài
tuǎn tuǎn
chàn chàn
zěn zěn
zhen zhen
xióng xióng
dìng dìng
zhěn zhěn
nì nì
qiān qiān
kēng kēng
xīng xīng
mēn mēn
quǎn quǎn
guǎi guǎi
pèn pèn
tuō tuō
xiú xiú
zǎng zǎng
qióng qióng
bǐ bǐ
chún chún
zùn zùn
jié jié
kòng kòng
zhèn zhèn
tà tà
hà hà
cí cí
ē ē
zhèi zhèi
ke ke
kèn kèn
bèn bèn
wù wù
diē diē
wéi wéi
mái mái
zhuǐ zhuǐ
nái nái
tàn tàn
hua hua
tóng tóng
fù fù
gēn gēn
sè sè
hòng hòng
fēn fēn
zhuǎ zhuǎ
záng záng
jùn jùn
yǐn yǐn
huo huo
jiǎng jiǎng
sǒu sǒu
huà huà
liù liù
huáng huáng
huǐ huǐ
zhǒng zhǒng
zuǒ zuǒ
chǎo chǎo
gěi gěi
màng màng
cuò cuò
mǔ mǔ
gǎi gǎi
dào dào
chāi chāi
xiōng xiōng
nú nú
zhāi zhāi
káo káo
dà dà
lǚ lǚ
xiē xiē
cái cái
lùn lùn
huā huā
lóng lóng
fāng fāng
cǔn cǔn
jiòng jiòng
juǎn juǎn
le le
tǎng tǎng
shōu shōu
ǎo ǎo
kǔ kǔ
shì shì
xuè xuè
duo duo
míng míng
pēi pēi
pú pú
ràng ràng
láng láng
jǐng jǐng
qīng qīng
yi yi
yuàn yuàn
pāi pāi
niàn niàn
shēn shēn
wǔ wǔ
cǎo cǎo
nǐn nǐn
yun yun
yū yū
guò guò
niàng niàng
chāo chāo
xiān xiān
miáo miáo
nà nà
chài chài
huǎng huǎng
niē niē
kuàng kuàng
jiào jiào
ḿ ḿ
zhī zhī
ruí ruí
kě kě
cǎi cǎi
tī tī
tài tài
huī huī
fēng fēng
móu móu
lǒng lǒng
nāng nāng
tiào tiào
mú mú
zhòng zhòng
yú yú
miē miē
cǎng cǎng
yín yín
má má
pá pá
dūn dūn
bú bú
ōu ōu
zūn zūn
xiū xiū
kǎi kǎi
lìng lìng
dēng dēng
hēng hēng
kuan kuan
zì zì
qiǎo qiǎo
chǎ chǎ
shǎo shǎo
liě liě
san san
róng róng
pǐn pǐn
kàn kàn
dāo dāo
qǐng qǐng
chuāi chuāi
fu fu
tiān tiān
guǎ guǎ
gū gū
jì jì
liang liang
tǎn tǎn
né né
chuì chuì
pī pī
miàn miàn
gòu gòu
sēn sēn
kǒu kǒu
pà pà
tou tou
mò mò
qiù qiù
wáng wáng
pō pō
duǎn duǎn
qiào qiào
sǎ sǎ
hāo hāo
lāng lāng
zān zān
heng heng
yóu yóu
óu óu
kuǎi kuǎi
rǔ rǔ
piě piě
ne ne
shuǎi shuǎi
lōu lōu
qiāng qiāng
xíng xíng
shǔ shǔ
fóu fóu
kěn kěn
shēng shēng
bàn bàn
gài gài
piào piào
ná ná
wǎi wǎi
hūn hūn
yē yē
xú xú
xuán xuán
diān diān
tāo tāo
bó bó
dā dā
zèng zèng
tù tù
é é
chǐ chǐ
chǎng chǎng
qiǎn qiǎn
fǒu fǒu
huì huì
chèn chèn
liáng liáng
guí guí
mián mián
fǎ fǎ
tì tì
tuān tuān
tào tào
tiāo tiāo
lì lì
dùn dùn
juàn juàn
tuò tuò
zuì zuì
wēi wēi
tiǎn tiǎn
sòu sòu
fàng fàng
chǔn chǔn
tuī tuī
bā bā
yōng yōng
suǐ suǐ
nuò nuò
qiǎ qiǎ
pǎi pǎi
shé shé
pù pù
xí xí
zhá zhá
rěn rěn
yān yān
zéi zéi
lái lái
dēi dēi
něng něng
xùn xùn
tuì tuì
qìng qìng
cáo cáo
wèi wèi
āi āi
lǎng lǎng
chuàng chuàng
guàng guàng
tán tán
zhuāi zhuāi
màn màn
ji ji
rú rú
xǔ xǔ
néi néi
kài kài
shǎ shǎ
hāi hāi
yǐ yǐ
zōu zōu
nǚ nǚ
zāng zāng
àng àng
báo báo
suī suī
zhuō zhuō
sěn sěn
zhú zhú
dāi dāi
xìng xìng
qiè qiè
lo lo
dún dún
bài bài
fà fà
còng còng
nǎn nǎn
liū liū
cāi cāi
něi něi
fān fān
há há
kun kun
lǔn lǔn
sān sān
huān huān
quē quē
tián tián
zàng zàng
xuě xuě
zèn zèn
è è
áo áo
pèi pèi
qiàng qiàng
chuā chuā
diū diū
ya ya
zàn zàn
na na
ka ka
mo mo
huǎn huǎn
liú liú
wàng wàng
mǒ mǒ
dòng dòng
ēn ēn
jing jing
xún xún
qié qié
mō mō
shāng shāng
rēng rēng
xie xie
jiǎo jiǎo
měng měng
gǒu gǒu
léi léi
cao cao
zǎn zǎn
