#CB编号, 通用字, 原字, 組合表示式
CB00653,,𡆆,[咑-丁+羅]                                 
CB00654,,𣣋,[夌*欠]                                   
CB00584,,颰,[颱-台+犮]                                 
CB00657,蠡,䗍,[彖/虫]                                   
CB00661,,𩭤,[髟/公/心]                                 
CB00664,,𩭓,[髟/酉]                                   
CB00667,罥,,[罥-口+ㄙ]                                 
CB00670,,𣪬,[穀-(一/禾)+牛]                             
CB00671,煢,㷀,[煢-(冗-几)]                               
CB00681,騣,𩦲,[騣-凶+(鬯-匕)]                             
CB00682,,𧆑,[藿-隹+雔]                                 
CB00684,鸀,𪅱,[(尸@禹)*鳥]                               
CB00685,臍,䐡,[〦/(刀*ㄚ*(留-刀-田))/肉]                     
CB00687,,𦼮,[卄/幹]                                   
CB00688,,𡂜,[口*((啜-口)/酉)]                           
CB00689,,𠯋,[口*兮]                                   
CB00695,,𡏚,[土*虒]                                   
CB00698,,𦙽,[月*冊]                                   
CB00701,析,㭊,[木*片]                                   
CB00703,,㷮,[火*曹]                                   
CB00705,,𢮎,[打-丁+虎]                                 
CB00706,捺,,[打-丁+柰]                                 
CB00708,,𥆐,[目*吾]                                   
CB00709,眵,,[目*(嵐-几)]                               
CB00712,,𥢶,[禾*會]                                   
CB00713,竊,𥨱,[穴/耦]                                   
CB00714,,䫂,[多*頁]                                   
CB00716,宇,㝢,[宋-木+禹]                                 
CB00718,赧,𧹞,[赤*皮]                                   
CB00719,,𥯤,[竺-二+韋]                                 
CB00720,舒,𨥤,[金*予]                                   
CB00727,獎,㢡,[將/廾]                                   
CB00728,,䘲,[袖-由+(梫-木)]                             
CB00730,翱,𦒡,[睪*羽]                                   
CB00732,,𩗺,[颱-台+易]                                 
CB00733,,𧙃,[褒-保+可]                                 
CB00734,,䜝,[繼-糸+言]                                 
CB00742,璃,,[王*((禾*ㄉ)/木)]                           
CB00746,罩,,[(ㄇ@人)/卓]                               
CB00752,,𦾨,[卄/(阿-可+辛)/女]                           
CB00753,孽,𦽆,[卄/(阿-可+辛)/子]                           
CB00754,櫱,,[卄/(阿-可+辛)/木]                           
CB00755,蔬,,[卄/(跳-兆+束)]                             
CB00756,,䒵,[卄/好]                                   
CB00758,,䓑,[卄/汧]                                   
CB00760,,𠷑,[口*癹]                                   
CB00761,,𠯆,[口*女]                                   
CB00762,,㖒,[口*弟]                                   
CB00763,,𠺁,[口*弱]                                   
CB00764,笑,㗛,[口*笑]                                   
CB00765,,𠼬,[口*商]                                   
CB00766,嚏,㗣,[口*帶]                                   
CB00767,喏,㘃,[口*惹]                                   
CB00768,,𡁠,[口*爾]                                   
CB00770,,𡃤,[口*賴]                                   
CB00771,,㘕,[口*藍]                                   
CB00776,,㟏,[山*含]                                   
CB00780,,㰠,[亢*欠]                                   
CB00782,狎,𠇺,[仁-二+甲]                                 
CB00783,,𠉌,[仁-二+肙]                                 
CB00785,腦,𦠊,[月*(止/(止*止))]                           
CB00787,胃,𦝩,[月*胃]                                   
CB00794,夭,,[乏-之+犮]                                 
CB00795,,𢪛,[打-丁+(改-己)]                             
CB00796,抵,𢪔,[打-丁+互]                                 
CB00798,,㧗,[打-丁+此]                                 
CB00799,,𪾼,[目*壹]                                   
CB00800,,𥍽,[矛*重]                                   
CB00802,,𥝟,[禾*土]                                   
CB00803,耨,䅶,[禾*辱]                                   
CB00805,,𤚥,[牟*含]                                   
CB00806,紇,,[糸*(占-口+乙)]                             
CB00808,賾,𦣱,[臣*責]                                   
CB00809,蛗,𧌓,[虫*阜]                                   
CB00810,,𧎇,[虫*蚤]                                   
CB00811,,𧒓,[虫*瑟]                                   
CB00812,,𪑐,[尾*黑]                                   
CB00818,,𤿺,[其*皮]                                   
CB00821,懊,㤇,[怡-台+夭]                                 
CB00825,滴,𤁷,[泳-永+適]                                 
CB00828,鏊,𨫼,[金*敖]                                   
CB00830,闕,𨷂,[門@報]                                   
CB00831,,𨺙,[阿-可+兒]                                 
CB00832,覆,䨱,[雨/復]                                   
CB00833,,𠆙,[亭*夜]                                   
CB00834,黠,,[烈-列+(里*吉)]                             
CB00837,,𤸱,[病-丙+盍]                                 
CB00838,,𤹪,[病-丙+區]                                 
CB00840,鬥,𩰖,[鬥@(豆*斤)]                               
CB00841,,䠠,[帶/足]                                   
CB00844,迢,,[這-言+((美-王-大)/口)]                       
CB00846,,㲪,[登*毛]                                   
CB00847,毾,𣰅,[翕*毛]                                   
CB00848,黎,𪏭,[黍-禾+利]                                 
CB00849,跋,,[跳-兆+(乏-之+(犮-、))]                       
CB00850,,𧿽,[跳-兆+叵]                                 
CB00851,,𨁟,[跳-兆+我]                                 
CB00852,跗,𨁵,[跳-兆+府]                                 
CB00855,乞,𠧒,[占-口+乙]                                 
CB00857,糝,,[糝-(彰-章)+(恭-共)]                         
CB00858,孽,,[薜/女]                                   
CB00859,孽,㜸,[薛/女]                                   
CB00862,瑿,,[醫-酉+王]                                 
