#CB编号, 通用字, 原字, 組合表示式
CB11922,,𥠊,[禾*柔]                                   
CB11923,窆,,[穴/之]                                   
CB11924,,𥥝,[穴/用]                                   
CB11927,粒,𩚷,[立*食]                                   
CB11934,,㰪,[圭*欠]                                   
CB11935,蛙,䵷,[圭*黽]                                   
CB11938,夥,㚌,[多*果]                                   
CB11943,,䊧,[米*費]                                   
CB11948,翼,䋚,[糸*羽]                                   
CB11949,,䋬,[糸*忝]                                   
CB11950,紟,䋮,[糸*金]                                   
CB11951,,䋸,[糸*盾]                                   
CB11954,,䌝,[糸*禁]                                   
CB11955,,䌩,[糸*蔑]                                   
CB11956,,䌯,[糸*雚]                                   
CB11965,,𧠫,[至*見]                                   
CB11966,,𦥬,[臼*乍]                                   
CB11967,,䑗,[臼*昜]                                   
CB11969,,㐄,[舛-夕]                                   
CB11972,,𦪙,[舟*翕]                                   
CB11973,,𦪝,[舟*絭]                                   
CB11974,,㰩,[虫*欠]                                   
CB11975,蚊,𧉬,[虫*民]                                   
CB11978,,䗁,[虫*奇]                                   
CB11980,,䗇,[虫*匊]                                   
CB11982,蛉,𧕅,[虫*霝]                                   
CB11984,,𧖷,[血*忍]                                   
CB11985,,㚢,[佞-二]                                   
CB11990,,𩓘,[宏*頁]                                   
CB11991,,䳚,[旱*鳥]                                   
CB11993,,㳹,[沐*王]                                   
CB11994,斷,,[皂*斤]                                   
CB11999,,𧥍,[角*麃]                                   
CB12003,,䛰,[言*昆]                                   
CB12004,誘,䛻,[言*盾]                                   
CB12005,,𧫤,[言*畢]                                   
CB12007,,𧬷,[言*豦]                                   
CB12008,謇,𧮎,[言*謇]                                   
CB12010,,𧵥,[貝*危]                                   
CB12012,賚,𧶛,[貝*來]                                   
CB12013,,𧸘,[貝*僉]                                   
CB12014,,䠸,[身*夸]                                   
CB12017,軌,䡄,[車*几]                                   
CB12018,輾,𨋃,[車*及]                                   
CB12019,,䡋,[車*支]                                   
CB12021,,𤭔,[車*瓦]                                   
CB12022,,䡙,[車*良]                                   
CB12025,,𨍊,[車*秋]                                   
CB12026,,𨎩,[車*黃]                                   
CB12027,,𨎻,[車*詹]                                   
CB12028,醅,𨟷,[酉*不]                                   
CB12029,酗,䣱,[酉*句]                                   
CB12031,嗜,𨢍,[酉*耆]                                   
CB12035,,𨛿,[取*邑]                                   
CB12036,,䫋,[委*頁]                                   
CB12039,撻,,[幸*ㄆ]                                   
CB12040,,𢛆,[弦/心]                                   
CB12041,誖,,[或/或]                                   
CB12043,,𢛓,[林/心]                                   
CB12046,蜘,𧌲,[知/虫]                                   
CB12047,都,𨜞,[者*邑]                                   
CB12048,鵒,𪃪,[臾*鳥]                                   
CB12050,,𨨡,[金*於]                                   
CB12051,,𨩠,[金*省]                                   
CB12052,,𨫾,[金*敕]                                   
CB12053,鏑,𨬙,[金*啻]                                   
CB12055,,𨧩,[金*宕]                                   
CB12058,,𨴊,[門@矢]                                   
CB12059,,䦚,[門@舌]                                   
CB12062,閾,𨵨,[門@洫]                                   
CB12063,,𨶆,[門@倉]                                   
CB12064,啟,,[門@啟]                                   
CB12065,,䳡,[隹*鳥]                                   
CB12066,焦,𤊙,[隹/火]                                   
CB12068,,𩃾,[雨/虺]                                   
CB12069,,𤦅,[非/王]                                   
CB12070,,𪃶,[侯*鳥]                                   
CB12072,勰,𢣢,[思*劦]                                   
CB12074,,㐌,[施-方]                                   
CB12078,墾,𡍭,[狠/土]                                   
CB12080,,𤟮,[耑*犬]                                   
CB12084,,𡣢,[重*委]                                   
CB12085,,䩆,[面*乍]                                   
CB12086,靦,𩉊,[面*亶]                                   
CB12088,,𩊖,[革*并]                                   
CB12089,,䩤,[革*見]                                   
CB12092,舄,𩍆,[革*舄]                                   
CB12093,,䪏,[韋*內]                                   
CB12094,,𩛛,[食/共]                                   
CB12095,,𩝶,[修/食]                                   
CB12097,嗄,𣣺,[夏*欠]                                   
CB12098,谿,,[奚*各]                                   
CB12100,,䫦,[盍*頁]                                   
CB12102,縣,,[臬*糸]                                   
CB12106,騮,𩤃,[馬*亞]                                   
CB12108,,䭹,[馬*卬]                                   
CB12111,,𩨻,[骨*主]                                   
CB12112,,䯒,[骨*行]                                   
CB12113,,䯜,[骨*易]                                   
CB12116,臆,,[(骨-┌+人)*啻]                             
CB12122,捋,,[將-爿]                                   
CB12123,,䊢,[將/米]                                   
CB12124,截,,[崔*戈]                                   
CB12129,,𪆊,[舂/鳥]                                   
CB12130,莽,,[莽-、]                                   
CB12131,鱔,䱇,[魚*旦]                                   
CB12135,,𪃐,[鳥*眇]                                   
CB12136,,𪄻,[鳥*舂]                                   
CB12138,麟,𪊺,[鹿*吝]                                   
CB12139,麃,,[鹿/火]                                   
CB12140,麠,,[鹿/京]                                   
CB12142,朕,,[勝-力]                                   
CB12144,靦,𡆎,[單*亶]                                   
CB12145,嚭,,[壹*否]                                   
CB12148,,䎖,[曾*羽]                                   
CB12149,豋,㽅,[登*瓦]                                   
CB12153,,𪒡,[黑*逮]                                   
CB12154,,𪒱,[黑*愛]                                   
CB12155,,㜪,[新/女]                                   
CB12159,槧,,[漸/木]                                   
CB12161,嚏,𪖰,[鼻*帝]                                   
CB12162,,𪖯,[鼻*扁]                                   
CB12163,,𨟄,[樊/邑]                                   
CB12166,齘,𪗢,[齒*爪]                                   
CB12170,莞,𦯜,[藐-豸]                                   
CB12173,,𢥗,[離/心]                                   
CB12174,,𤓉,[難/火]                                   
CB12175,攙,,[攙-、]                                   
CB12176,蜆,𧖙,[顯/虫]                                   
CB12181,園,,[囗@表]                                   
CB12187,,㣶,[彳*亶]                                   
CB12189,牝,,[爿*匕]                                   
CB12190,,𤕻,[爿*吾]                                   
CB12191,羿,𢏗,[幵/弓]                                   
CB12192,罝,𦊩,[网/且]                                   
CB12197,蛬,𧋯,[旲/虫]                                   
CB12201,,𨲗,[壴*長]                                   
CB12202,毅,,[彖*殳]                                   
CB12204,桑,𣕐,[芔/木]                                   
CB12205,惠,,[芔/惠]                                   
CB12206,栒,,[栒/大]                                   
CB12209,,䯾,[髟/周]                                   
CB12211,熱,𤍽,[埶/火]                                   
CB12212,毯,㲭,[焱*毛]                                   
CB12213,饜,𩞹,[猒/食]                                   
CB12214,晉,㬜,[臸/日]                                   
CB12216,黻,,[黹*犬]                                   
CB12219,懇,𢡆,[豤/心]                                   
CB12220,,㾜,[瘞-土]                                   
CB12222,糱,,[嶭/米]                                   
CB12224,獮,,[獮/王]                                   
CB12225,,㦰,[韱-韭]                                   
CB12227,饔,𩟷,[雝/食]                                   
CB12228,瀱,,[瀱-厂]                                   
CB12229,焦,𤓪,[雥/火]                                   
CB12231,德,,[〦/目/心]                                 
CB12235,蕢,𧂟,[卄/臾/貝]                                 
CB12239,史,,[中-〡+人]                                 
CB12240,,𠇱,[仁-二+末]                                 
CB12242,,㑯,[仁-二+頁]                                 
CB12248,,𠊪,[仁-二+壴]                                 
CB12250,傀,𠐤,[仁-二+褢]                                 
CB12257,災,𤆎,[打-丁+火]                                 
CB12258,,㧤,[打-丁+充]                                 
CB12261,,㧒,[打-丁+穴]                                 
CB12263,抪,𢬾,[打-丁+希]                                 
CB12264,,㨢,[打-丁+能]                                 
CB12266,,𢳂,[打-丁+畢]                                 
CB12269,,𢴨,[打-丁+啻]                                 
CB12270,,𢵱,[打-丁+開]                                 
CB12271,塞,㩙,[打-丁+塞]                                 
CB12273,,𢷻,[打-丁+緣]                                 
CB12275,,𢴠,[打-丁+戠]                                 
CB12277,窈,,[穴/ㄠ/力]                                 
CB12284,羿,,[羽/一/廾]                                 
CB12285,耄,𩲘,[老-匕+鬼]                                 
CB12287,,𠚸,[利-禾+勾]                                 
CB12289,,㓢,[利-禾+各]                                 
CB12290,荊,𠛼,[利-禾+并]                                 
CB12294,,𡨰,[宋-木+非]                                 
CB12297,,𡩀,[宋-木+彖]                                 
CB12298,,㡸,[序-予+乍]                                 
CB12301,痟,𢈭,[序-予+肖]                                 
CB12303,,㢏,[序-予+俞]                                 
CB12305,戎,𢦦,[戒-廾+甲]                                 
CB12306,敧,𢽽,[奇*ㄆ]                                   
CB12309,,𢾝,[韋*ㄆ]                                   
CB12311,,𢿜,[曼*ㄆ]                                   
CB12312,,𤜻,[狂-王+比]                                 
CB12314,,𤝬,[狂-王+氐]                                 
CB12315,,𤝼,[狂-王+自]                                 
CB12318,猿,,[狂-王+表]                                 
CB12322,,𤟟,[狂-王+音]                                 
CB12324,,㺞,[狂-王+與]                                 
CB12325,獮,,[狂-王+璽]                                 
CB12326,,𤴓,[足-口+一]                                 
CB12331,桮,,[卸-ㄗ+不]                                 
CB12332,缶,,[卸-ㄗ+瓦]                                 
CB12333,,𡥞,[受-又+子]                                 
CB12335,,㤜,[怡-台+戍]                                 
CB12336,,𢘺,[怡-台+米]                                 
CB12337,,𢠌,[怡-台+強]                                 
CB12338,懿,㦉,[怡-台+壹]                                 
CB12340,憯,𢡚,[怡-台+替]                                 
CB12342,憪,𢡿,[怡-台+閑]                                 
CB12343,,𢣺,[怡-台+盡]                                 
CB12345,悻,𢙼,[怡-台+巠]                                 
CB12346,,𢩨,[抵-氏+ㄎ]                                 
CB12349,溢,㳑,[泳-永+皿]                                 
CB12351,,𣳸,[泳-永+兇]                                 
CB12354,渴,㵣,[泳-永+歇]                                 
CB12357,瀹,𤅰,[泳-永+籥]                                 
CB12361,,𥬵,[竺-二+而]                                 
CB12363,,𥭛,[竺-二+酉]                                 
CB12365,,𥯄,[竺-二+隹]                                 
CB12366,簪,𥯓,[竺-二+甚]                                 
CB12368,,𥰣,[竺-二+留]                                 
CB12370,戟,,[竺-二+戟]                                 
CB12371,,𥵞,[竺-二+截]                                 
CB12376,虡,𧆾,[虎-儿+共]                                 
CB12377,,𨚯,[邱-丘+同]                                 
CB12390,酨,𧟭,[栽-木+西]                                 
CB12391,乘,,[垂-┴+木]                                 
CB12393,,䚙,[垣-土+角]                                 
CB12394,奐,𢍅,[奐-大+廾]                                 
CB12396,尰,,[虺-虫+童]                                 
CB12404,丞,𤉋,[烈-列+承]                                 
CB12408,,㾙,[病-丙+希]                                 
CB12409,,㾫,[病-丙+扁]                                 
CB12410,,𤹷,[病-丙+鳥]                                 
CB12411,,𤼃,[病-丙+龍]                                 
CB12412,瘞,,[病-丙+坴]                                 
CB12415,衷,,[衷-十+〡]                                 
CB12416,跬,䞨,[起-巳+圭]                                 
CB12417,瘞,𨻊,[陛-比+夾]                                 
CB12418,飴,䬮,[飢-几+以]                                 
CB12419,餌,,[飢-几+取]                                 
CB12421,餉,𩜋,[飢-几+尚]                                 
CB12422,飴,𩞫,[飢-几+異]                                 
CB12423,,𩞩,[飢-几+黃]                                 
CB12424,飫,𩜈,[飢-几+芺]                                 
CB12426,憲,,[曼-又+心]                                 
CB12427,噓,,[唬-儿+丘]                                 
CB12428,留,,[堊-王+田]                                 
CB12431,戛,,[戛-目+日]                                 
CB12432,榷,𣙜,[梡-元+隹]                                 
CB12433,笴,𥯽,[笠-一+可]                                 
CB12434,,㭒,[耜-耒+木]                                 
CB12436,補,,[袖-由+├]                                 
CB12437,褋,𧝵,[袖-由+葉]                                 
CB12438,襤,𧟋,[袖-由+藍]                                 
CB12440,軌,𨑍,[這-言+九]                                 
CB12442,,𨒅,[這-言+只]                                 
CB12443,,䢒,[這-言+交]                                 
CB12444,,䢔,[這-言+合]                                 
CB12446,赴,𨕍,[這-言+赴]                                 
CB12447,,𨔦,[這-言+壴]                                 
CB12450,,𤗚,[幅-巾+片]                                 
CB12451,搔,𢳰,[揆-天+虫]                                 
CB12452,摛,,[揣-而+离]                                 
CB12453,汪,,[湍-而+王]                                 
CB12454,屬,,[犀-牛+禹]                                 
CB12460,世,,[賁-貝+一]                                 
CB12461,春,𣆊,[貴-貝+曰]                                 
CB12462,,𨅙,[跍-十+帝]                                 
CB12464,溘,𣹆,[溘-去+太]                                 
CB12467,稟,,[稟-禾+米]                                 
CB12472,穎,𩓙,[肄-聿+頁]                                 
CB12476,,𧿞,[跳-兆+欠]                                 
CB12477,,䠎,[跳-兆+屋]                                 
CB12478,跿,𨃝,[跳-兆+徒]                                 
CB12479,,𨃟,[跳-兆+般]                                 
CB12480,,𨄰,[跳-兆+張]                                 
CB12488,收,,[敲-高+ㄐ]                                 
CB12491,,㪜,[敲-高+耑]                                 
CB12493,,𥉑,[榷-木+目]                                 
CB12495,漭,𣾘,[漠-旲+奔]                                 
CB12500,,䫾,[颱-台+必]                                 
CB12502,,㯖,[德-彳+木]                                 
CB12506,螜,𧏚,[穀-禾+虫]                                 
CB12513,,䴮,[麩-夫+山]                                 
CB12519,諜,,[謀-甘+芸]                                 
CB12520,詳,,[諾-右+干]                                 
CB12525,鼓,,[聲-耳+豆]                                 
CB12526,蛘,䖹,[蟆-旲+干]                                 
CB12527,趨,,[趨-土+夭]                                 
CB12528,隸,𨽻,[隸-木+匕]                                 
CB12529,繚,𦆖,[繚-小+火]                                 
CB12530,釐,𨤲,[釐-未+牙]                                 
CB12534,,㯿,[臘-月+木]                                 
CB12537,蜃,𧒏,[蠢-春+辰]                                 
CB12538,,𧓑,[蠢-春+雨]                                 
CB12539,蜚,𧓊,[蠢-春+非]                                 
CB12541,軌,𧗝,[彳*九*亍]                                 
CB12544,獼,,[犵-乙+小]                                 
CB12549,,㚔,[羍-干+十]                                 
CB12553,跎,𧿶,[趷-乙+也]                                 
CB12554,,𨁁,[趷-乙+疋]                                 
CB12556,挩,𢬁,[掜-臼+公]                                 
CB12558,离,,[离-〦+山]                                 
CB12559,悔,,[惌-夗+毋]                                 
CB12561,梲,,[棇-心+儿]                                 
CB12562,窗,𤗉,[棇-木+片]                                 
CB12568,媵,𡟒,[媵-月+女]                                 
CB12569,幘,𢅙,[幊-工+朿]                                 
CB12572,耄,𦽡,[葶-丁+老]                                 
CB12574,,𦿽,[萩-火+頁]                                 
CB12576,嫠,𡠉,[嫠-未+牙]                                 
CB12577,穀,𥡛,[愨-心+禾]                                 
CB12578,鷇,,[愨-心+鳥]                                 
CB12582,榼,𣖁,[榼-去+太]                                 
CB12583,榼,,[榼-去+羊]                                 
CB12585,漭,,[漭-犬+大]                                 
CB12586,虡,,[箎-儿+丘]                                 
CB12588,棱,,[樍-貝+ㄆ]                                 
CB12592,覷,,[覤-儿+目]                                 
CB12593,,䛼,[誽-儿+工]                                 
CB12594,話,䛡,[諙-日+口]                                 
CB12600,傲,,[憿-白+出]                                 
CB12606,螣,𧑞,[螣-月+虫]                                 
CB12607,誼,𧨏,[諢-車+且]                                 
CB12609,螯,,[螯-士+出]                                 
CB12611,,𦩕,[艣-男+几]                                 
CB12613,顗,,[顗-山+止]                                 
CB12616,璺,𤪭,[璺-同+缶]                                 
CB12617,,𩱦,[鬻-米+芻]                                 
CB12619,躞,𨇾,[躞-又+火]                                 
CB12620,,𨶜,[門@(豆*斗)]                               
CB12621,肓,,[(└@人)/月]                               
CB12623,,𣥙,[(ㄇ@人)/止]                               
CB12624,罭,,[(ㄇ@人)/或]                               
CB12625,网,,[(ㄇ@儿)/亡]                               
CB12626,悴,,[(九/十)*頁]                               
CB12628,貿,,[(夕*ㄗ)/貝]                               
CB12629,貿,,[(夕*匕)/貝]                               
CB12632,鞏,,[(工*刀)/革]                               
CB12634,敓,,[(公/儿)*支]                               
CB12636,樹,𡬾,[(木/豆)*寸]                               
CB12646,,𢿵,[(尚/木)*ㄆ]                               
CB12650,胃,𦞅,[(鹵-├)/月]                               
CB12651,胸,,[(凵@又)/月]                               
CB12653,胸,,[(囗@乂)/月]                               
CB12654,毗,,[(囗@乂)/比]                               
CB12658,蓏,,[卄/(爪*爪)]                               
CB12659,蕤,,[卄/(豕*生)]                               
CB12664,,𡡗,[女*(辭-辛)]                               
CB12666,屈,,[尸@(水/出)]                               
CB12670,,𦠌,[月*(而/而)]                               
CB12675,,𣚊,[木*(而/而)]                               
CB12676,爨,,[木*(爨-大)]                               
CB12677,燭,,[火*(尸@禹)]                               
CB12678,瑵,𤨚,[王*(必/虫)]                               
CB12680,甿,,[田*(└@人)]                               
CB12681,,𥄗,[目*(蚤-虫)]                               
CB12682,,𥄎,[目/(敲-高)]                               
CB12685,祲,,[示*(帚/又)]                               
CB12693,服,,[舟*(尸@又)]                               
CB12695,謎,䛧,[言*(└@米)]                               
CB12705,,𡯄,[拋-(打-丁)]                               
CB12707,燅,𤍙,[炙*(干/火)]                               
CB12712,俾,,[俾-(白-日)]                               
CB12713,鬥,𩰚,[鬥@(亞*斤)]                               
CB12714,篹,,[莫/(夗-夕)]                               
CB12715,鮮,,[魚*(卄/干)]                               
CB12716,焦,𤓬,[焦/(焦*焦)]                               
CB12717,,㚅,[隆-(阿-可)]                               
CB12719,肉,,[囗@(八/八)]                               
CB12720,,𡇄,[囗@(又*又)]                               
CB12721,,㣞,[彳*(公/儿)]                               
CB12724,羈,,[网/(巾*馬)]                               
CB12727,,䰓,[髟/(櫋-木)]                               
CB12729,,𣓪,[〦/ㄙ/世/木]                               
CB12731,紝,,[(仁-二+王)/糸]                             
CB12738,貴,,[(朿-木+大)/貝]                             
CB12741,芋,,[卄/(百-日+ㄎ)]                             
CB12743,,𦽌,[卄/(幅-巾+片)]                             
CB12747,吮,𠵷,[口*(兗-兄+允)]                             
CB12752,彌,,[弓*(乞-乙+小)]                             
CB12761,搊,𢮢,[打-丁+(丑/丑)]                             
CB12763,矇,,[目*(冗-几+豕)]                             
CB12764,盻,,[目*(前-刖+ㄅ)]                             
CB12765,磕,𥕤,[石*(恙-心+皿)]                             
CB12766,禰,,[示*(乞-乙+小)]                             
CB12767,,䄪,[禾*(句-口+、)]                             
CB12771,骴,,[此/(骨-┌+人)]                             
CB12772,聯,,[耳*(烈-列+卯)]                             
CB12774,蜓,,[虫*(乞-乙+小)]                             
CB12776,叟,𠋢,[佇-丁+(火/又)]                             
CB12777,庾,𢈔,[序-予+(更-一)]                             
CB12783,卸,䣃,[卸-ㄗ+(邱-丘)]                             
CB12785,惇,,[怡-台+(高/羊)]                             
CB12786,忮,,[怡-台+(敲-高)]                             
CB12788,懍,,[怡-台+(廩-〦)]                             
CB12794,饌,,[竺-二+(旲/良)]                             
CB12795,鞫,𥷴,[竺-二+(羍*訇)]                             
CB12796,,𨜈,[邱-丘+(丑/丑)]                             
CB12798,,䣜,[邱-丘+(樝-木)]                             
CB12799,闔,,[闔-去+羊]                                 
CB12801,惘,,[恫-(一/口)+又]                             
CB12808,巟,㠩,[荒-芒+(└@人)]                             
CB12810,踣,䞳,[起-巳+(立/口)]                             
CB12813,惇,,[惇-子+(日/羊)]                             
CB12815,艘,,[梡-元+(火/又)]                             
CB12817,艘,䑹,[舵-匕+(火/又)]                             
CB12822,麟,𪊭,[鹿*(希-巾+ㄙ)]                             
CB12826,誡,𧪖,[試-工+(工/八)]                             
CB12830,寢,𡫒,[寢-又+(巾/又)]                             
CB12834,斕,,[敲-高+(米/舛)]                             
CB12836,敵,,[敲-高+(嫡-女)]                             
CB12840,鬾,,[魅-未+(敲-高)]                             
CB12842,霪,,[霑-占+(瑤-王)]                             
CB12847,,𦇷,[戀-心+(電-雨)]                             
CB12851,,䝞,[豸*(虎-儿+几)]                             
CB12855,瞍,𥈟,[眝-丁+(火/又)]                             
CB12856,涴,,[涴-(夗-夕)+匕]                             
CB12859,鄮,,[鄖-口+(夕*巳)]                             
CB12864,蔬,,[蕗-各+(梳-木)]                             
CB12866,讂,,[讂-目+(〡*目)]                             
CB12868,讌,𧮃,[讌-(烈-列)+火]                             
CB12870,契,,[((素-糸)*刃)/廾]                           
CB12871,髯,𩓿,[((彰-章)/冉)*頁]                           
CB12872,罝,,[(ㄇ@(人*人))/且]                           
CB12873,罟,,[(ㄇ@(人*人))/古]                           
CB12875,,𢇃,[(ㄠ/八)*(ㄠ/八)]                           
CB12877,,𤳳,[(田/田)*(田/田)]                           
CB12879,腕,,[(耳*(蚤-虫))/手]                           
CB12880,贙,𧷠,[(虎*(彰-章))/貝]                           
CB12882,鶚,,[(遻-(這-言))*鳥]                           
CB12885,叫,𠸵,[口*(目/(巠-工))]                           
CB12889,梗,𣖀,[木*(丙/(敲-高))]                           
CB12892,硬,,[石*(丙/(敲-高))]                           
CB12896,鍔,,[金*(遻-(這-言))]                           
CB12899,鱷,𩻙,[魚*(遻-(這-言))]                           
CB12902,,㒬,[(虺-兀+元)-虫+王]                           
CB12919,剛,,[利-禾+(罩-卓+止)]                           
CB12920,豚,𤜨,[狂-王+(必-心+七)]                           
CB12921,豸,,[受-(冗-几+又)+豕]                           
CB12923,憊,𢟡,[怡-台+(苟-口+用)]                           
CB12929,愆,,[保-木+(巢-果+言)]                           
CB12930,瀑,𤄗,[涅-土+(出/大/米)]                           
CB12931,,𤇗,[烈-列+(色-巴+巳)]                           
CB12937,裂,𧛵,[裂-歹+(巢-果+歹)]                           
CB12938,睪,𥇡,[罩-卓+(羍-干+十)]                           
CB12941,躁,,[跳-兆+(絫-糸+尒)]                           
CB12944,褒,,[褒-保+(采-木+呆)]                           
CB12958,秣,䬴,[飢-几+末]                                 
CB12959,馘,,[(巢-果+(一/自))*或]                         
CB12961,華,,[(傘-(企-止))-┬+ㄎ]                         
CB12964,喝,,[口*(歇-(└@人)+匕)]                         
CB12966,髮,,[女*(巢-果+(一/自))]                         
CB12980,鄂,䣞,[邱-丘+(遻-(這-言))]                         
CB12985,髮,,[肆-聿+((彰-章)/大)]                         
CB12986,跚,𨀢,[跳-兆+(狦-(狂-王))]                         
CB12991,濬,,[渻-少+(止/(谷-口))]                         
CB12995,,𡭪,[(小-(丁-一)+〡)/日/儿]                       
CB12996,爵,,[(采-木+(罩-卓+鬯))*又]                       
CB13007,跪,,[起-巳+(危-(夗-夕)+巳)]                       
CB13012,,𩰥,[爵-(即-ㄗ+寸)+(鬯*又)]                       
CB13014,腦,,[(比-匕)*(巢-果+(凵@又))]                     
CB13016,賾,,[(厂-一)*(賾-口+(巨-匚))]                     
CB13017,虈,,[卄/(耜-耒+((耜-耒)*頁))]                     
CB13024,瓊,,[王*(奐-大+((〡*目)/一/乂))]                   
CB13026,鷞,,[鷞-(爻*爻)+(俎-且+(俎-且))]                   
CB13027,鄮,,[鄖-口+(一/(匚*〡*〡*(巨-匚)))]                 
CB13033,旨,,[二/日]                                   
CB13035,黍,,[禾/尒]                                   
CB13036,結,𥾫,[糸*丰]                                   
CB13041,簀,𤖓,[爿*責]                                   
CB13042,涎,,[沝*ㄆ]                                   
CB13044,,䕡,[菛@呂]                                   
CB13046,,𢪧,[打-丁+牛]                                 
CB13047,鼻,,[自/田/十]                                 
CB13054,綱,,[繹-幸+山]                                 
CB13055,睦,,[峚-土+回]                                 
CB13056,專,,[尃-用+申]                                 
CB13057,篔,,[篔-口+ㄙ]                                 
CB13058,蝷,,[蠊-兼+千]                                 
CB13059,鬘,,[鬘-又+万]                                 
CB13060,藏,,[(戊@?)/肉]                               
CB13063,益,,[(三*三)/皿]                               
CB13065,宦,,[(寅-由)/臣]                               
CB13066,勩,𠡫,[(棣-木)*力]                               
CB13070,朗,,[月*(一/艮)]                               
CB13077,顄,𩔞,[(甬-用+?)*頁]                             
CB13080,毗,,[(向-口+人)/比]                             
CB13081,,𡨎,[(宋-木)/火/寸]                             
CB13082,思,,[(囟-ㄨ+卄)/心]                             
CB13083,毗,,[(囟-囗+ㄇ)/比]                             
CB13085,,𦙇,[月*(冊-卄+＝)]                             
CB13098,,𢒆,[怡-台+(彰-章)]                             
CB13107,逌,,[迠-口+(同-一)]                             
CB13109,廧,,[廧-土+(大/二)]                             
CB13116,睫,𣮌,[(起-巳+毛)-走+疌]                           
CB13121,皺,,[皮*(刃/一/刃/一)]                           
CB13123,沇,,[泳-永+(兗-兄+允)]                           
CB13124,亟,𤊅,[烈-列+(亟-ㄎ+了)]                           
CB13125,隤,,[隕-口+(由-〡+人)]                           
CB13126,敷,,[敲-高+(尃-用+甲)]                           
CB13127,聰,,[聰-囪+(毌-十+卄)]                           
CB13128,,𦳋,[菆-耳+(扁-戶+├)]                           
CB13139,,𢳹,[打-丁+(一/(尸@甫))]                         
CB13145,,𠘯,[禸-(冉-土)+(夙-歹)]                         
CB13146,夔,,[首/(止*〡*〡*匕)/ㄆ]                         
CB13148,襤,,[糸*((臣*(夕-、))/皿)]                       
CB13151,徙,,[(起-土+(彰-章))-巳+止]                       
CB13152,掮,,[(掘-厂+(序-予))-出+目]                       
CB13156,塞,,[宋-木+(?/大/土)]                           
CB13160,遁,,[這-言+(豕/(咒-几+田))]                       
CB13161,巡,,[這-言+(乖-千+(乳-孚))]                       
CB13163,瘉,,[臧-(戊@臣)+(序-予+俞)]                       
CB13164,醇,𨣶,[醇-子+(日/(并-廾+十))]                       
CB13167,糞,,[米/(卄*├)/(┬│┬)/木]                       
CB13180,缽,,[(((嘹-口)-大+犬)-小)-日+皿]                   
CB13183,竊,,[穴/卄/(米*(├/(咼-┌+人)))]                   
CB13189,,𨗀,[這-言+((人*人)/(人*人)/日)]                   
CB13191,貿,,[((一/匚)*八*(一/(巨-匚)))/貝]                 
CB13199,嗟,,[口*((傘-(企-止)+一)-┬+(厂@工))]               
CB13201,獿,,[狂-王+(一/自/(止*(廾-一)*巳)/ㄆ)]               
CB13203,僄,𠑎,[仁-二+((興-同+(向-口+乂))-八+火)]               
CB13204,貿,,[(((廾-十)-一+(一/匚))*(┌/巳))/貝]             
CB13205,勝,,[(木-(企-止)+((人/人)*(人/人)))/ㄆ]             
CB13211,萏,,[卄/窞]                                   
CB13213,,䏌,[八/月]                                   
CB13216,膩,,[目*貳]                                   
CB13224,善,𧨅,[芏/言]                                   
CB13225,涎,𣶙,[沝*欠]                                   
CB13227,俊,,[倠/弓]                                   
CB13229,,𠤏,[匕/十]                                   
CB13231,离,,[山/?/禸]                                 
CB13235,叡,,[堅-臣+?]                                 
CB13245,庠,,[庠-干+十]                                 
CB13246,把,,[採-木+巳]                                 
CB13249,愜,㥦,[慝-若+夾]                                 
CB13250,蹀,𨁻,[蹂-矛+ㄊ]                                 
CB13251,珍,,[玝-十+小]                                 
CB13253,蚚,,[(中/?)*斤]                               
CB13254,歃,,[(凵@?)*欠]                               
CB13255,菽,,[卄/(、廾、、、)]                             
CB13260,,㔡,[(囟/比)*力]                               
CB13263,,𦎊,[羊*(白/八)]                               
CB13264,臮,,[自/(豕-一)]                               
CB13265,昃,𣅦,[厂@(人*日)]                               
CB13267,臣,,[ㄇ/ㄇ/ㄇ/一]                               
CB13269,陴,,[(亨-了+?)*卑]                             
CB13273,遁,,[這-言+(豕/?)]                             
CB13275,倏,,[(攸-ㄆ+支)/大]                             
CB13277,喪,,[(哭-、)/巳]                               
CB13281,乖,𦮃,[卄/(乖-千+〡)]                             
CB13284,聃,𨈜,[身*(冉-土+＝)]                             
CB13287,微,,[微-兀+(舛-夕)]                             
CB13289,灞,,[溧-木+(半*月)]                             
CB13294,達,,[遼-(日/小)+丰]                             
CB13295,轡,,[戀-心+(匚@一)]                             
CB13298,,𤆚,[扥-(打-丁)+火]                             
CB13303,喪,,[(哭-、)/(匚@一)]                           
CB13304,,𠕓,[ㄓ/((冉-土)@一)]                           
CB13307,執,,[羍*(几@(、/、))]                           
CB13311,糞,,[釆/(冓-冉)/木]                             
CB13313,,𩓒,[(厂@令)*頁]                               
CB13315,墊,,[((羍-干+十)*丮)/土]                         
CB13318,厚,,[日/(口/(十-一+凵))]                         
CB13321,臮,𦤌,[自/(白-日+(衣-〦))]                         
CB13323,郵,,[卸-(乞-乙)+(乏-之)]                         
CB13332,函,,[弓/(凵@(前-刖+十))]                         
CB13333,,𧀃,[卄/((〦/米)*(〦/米))]                       
CB13339,薤,,[(├/(冗-几+頁))*(又/韭)]                     
CB13345,農,䢉,[((盥-皿)-水+(向-口+乂))/辰]                   
