矮 躷 U+77EE U+8EB7
稿 稾 U+7A3F U+7A3E
稿 槀 U+7A3F U+69C0
告 吿 U+544A U+543F
告 叝 U+544A U+53DD
歌 謌 U+6B4C U+8B0C
閤 阖 U+95A4 U+9616
個 个 U+500B U+4E2A
羹 羮 U+7FB9 U+7FAE
耕 畊 U+8015 U+754A
恆 恒 U+6046 U+6052
觥 觵 U+89E5 U+89F5
躬 躳 U+8EAC U+8EB3
礦 砿 U+7926 U+783F
礦 鉱 U+7926 U+9271
礦 鑛 U+7926 U+945B
鉤 鈎 U+9264 U+920E
鉤 钩 U+9264 U+94A9
耇 耈 U+8007 U+8008
夠 够 U+5920 U+591F
韝 鞲 U+97DD U+97B2
呱 哌 U+5471 U+54CC
菇 𦱄 U+83C7 U+26C44
菇 苽 U+83C7 U+82FD
菰 苽 U+83F0 U+82FD
轂 軲 U+8F42 U+8EF2
羖 𦍩 U+7F96 U+26369
股 𦙶 U+80A1 U+26676
股 脵 U+80A1 U+8135
顧 頋 U+9867 U+980B
觀 覌 U+89C0 U+898C
觀 観 U+89C0 U+89B3
關 闗 U+95DC U+95D7
館 舘 U+9928 U+8218
灌 潅 U+704C U+6F45
光 灮 U+5149 U+706E
廣 広 U+5EE3 U+5E83
媯 妫 U+5AAF U+59AB
媯 嬀 U+5AAF U+5B00
歸 帰 U+6B78 U+5E30
歸 归 U+6B78 U+5F52
溈 潙 U+6E88 U+6F59
滾 滚 U+6EFE U+6EDA
袞 衮 U+889E U+886E
嘓 啯 U+5613 U+556F
國 囯 U+570B U+56EF
國 圀 U+570B U+5700
果 菓 U+679C U+83D3
槨 椁 U+69E8 U+6901
蝦 鰕 U+8766 U+9C15
扞 擀 U+625E U+64C0
夯 䂫 U+592F U+40AB
嗥 嘷 U+55E5 U+5637
號 号 U+865F U+53F7
蠔 𧐢 U+8814 U+27422
貉 狢 U+8C89 U+72E2
盍 盇 U+76CD U+76C7
熇 燺 U+7187 U+71FA
黑 黒 U+9ED1 U+9ED2
哄 閧 U+54C4 U+95A7
鬨 閧 U+9B28 U+95A7
齁 𪖙 U+9F41 U+2A599
餱 糇 U+9931 U+7CC7
戲 戯 U+6232 U+622F
曶 㫚 U+66F6 U+3ADA
壺 壷 U+58FA U+58F7
冱 沪 U+51B1 U+6CAA
滑 磆 U+6ED1 U+78C6
華 蕐 U+83EF U+8550
驊 𦽊 U+9A4A U+26F4A
畫 画 U+756B U+753B
畫 畵 U+756B U+7575
話 䛡 U+8A71 U+46E1
獾 貛 U+737E U+8C9B
煥 烉 U+7165 U+70C9
黃 黄 U+9EC3 U+9EC4
晃 晄 U+6643 U+6644
噅 噕 U+5645 U+5655
翬 翚 U+7FEC U+7FDA
回 囘 U+56DE U+56D8
回 廻 U+56DE U+5EFB
蛔 蜖 U+86D4 U+8716
迴 廻 U+8FF4 U+5EFB
毀 毁 U+6BC0 U+6BC1
譭 䛼 U+8B6D U+46FC
匯 滙 U+532F U+6ED9
彙 彚 U+5F59 U+5F5A
