㖈 䎛 U+3588 U+439B
徂 𡲂 U+5F82 U+21C82
徇 狥 U+5F87 U+72E5
徇 𢓈 U+5F87 U+224C8
很 𢓼 U+5F88 U+224FC
後 𢔏 U+5F8C U+2250F
徑 迳 U+5F91 U+8FF3
徑 径 U+5F91 U+5F84
徒 𨑒 U+5F92 U+28452
徒 𠫠 U+5F92 U+20AE0
得 𧴫 U+5F97 U+27D2B
得 䙷 U+5F97 U+4677
徙 𡕝 U+5F99 U+2155D
徙 𨑭 U+5F99 U+2846D
從 从 U+5F9E U+4ECE
從 従 U+5F9E U+5F93
徠 倈 U+5FA0 U+5008
御 𧗪 U+5FA1 U+275EA
復 𣸪 U+5FA9 U+23E2A
復 𠣸 U+5FA9 U+208F8
復 𢕒 U+5FA9 U+22552
微 𢕄 U+5FAE U+22544
微 𣁋 U+5FAE U+2304B
微 㣲 U+5FAE U+38F2
徵 徴 U+5FB5 U+5FB4
德 惪 U+5FB7 U+60EA
德 𢛳 U+5FB7 U+226F3
德 𢤊 U+5FB7 U+2290A
德 𢕞 U+5FB7 U+2255E
德 𢠀 U+5FB7 U+22800
德 㥁 U+5FB7 U+3941
德 𢜖 U+5FB7 U+22716
德 悳 U+5FB7 U+60B3
徹 𢖉 U+5FB9 U+22589
徽 幑 U+5FBD U+5E51
徽 𢾰 U+5FBD U+22FB0
忌 坖 U+5FCC U+5756
忍 㣼 U+5FCD U+38FC
忕 𢗗 U+5FD5 U+225D7
志 𢗍 U+5FD7 U+225CD
忘 㤀 U+5FD8 U+3900
忙 𢗅 U+5FD9 U+225C5
忞 𢗡 U+5FDE U+225E1
忭 昪 U+5FED U+662A
忱 𢗑 U+5FF1 U+225D1
忱 𢗐 U+5FF1 U+225D0
怐 𢗕 U+6010 U+225D5
怒 𢘂 U+6012 U+22602
怕 𢗌 U+6015 U+225CC
思 𠂺 U+601D U+200BA
思 恖 U+601D U+6056
怟 𪫮 U+601F U+2AAEE
急 𢚩 U+6025 U+226A9
怨 𠨝 U+6028 U+20A1D
怩 𢘒 U+6029 U+22612
怪 𢘪 U+602A U+2262A
怪 恠 U+602A U+6060
怯 㹤 U+602F U+3E64
怯 㤼 U+602F U+393C
恆 𠄨 U+6046 U+20128
恆 恒 U+6046 U+6052
恐 𢖶 U+6050 U+225B6
恐 𢙢 U+6050 U+22662
恒 𢘆 U+6052 U+22606
恕 㣽 U+6055 U+38FD
恢 烣 U+6062 U+70E3
恤 賉 U+6064 U+8CC9
恥 耻 U+6065 U+803B
恩 㤙 U+6069 U+3919
恪 㤩 U+606A U+3929
恭 㳟 U+606D U+3CDF
息 𧪩 U+606F U+27AA9
息 𢙆 U+606F U+22646
恿 慂 U+607F U+6142
悅 悦 U+6085 U+60A6
悅 恱 U+6085 U+6071
悉 𢘤 U+6089 U+22624
悉 𢘻 U+6089 U+2263B
悉 怸 U+6089 U+6038
悔 𠧩 U+6094 U+209E9
悚 𢥠 U+609A U+22960
悟 𢛤 U+609F U+226E4
悠 𢟅 U+60A0 U+227C5
悠 滺 U+60A0 U+6EFA
悢 𢝋 U+60A2 U+2274B
患 𢠶 U+60A3 U+22836
您 𠑓 U+60A8 U+20453
悴 忰 U+60B4 U+5FF0
悶 㥃 U+60B6 U+3943
悻 𢙼 U+60BB U+2267C
惄 𧗂 U+60C4 U+275C2
情 啨 U+60C5 U+5568
惉 𢛈 U+60C9 U+226C8
惎 𢗏 U+60CE U+225CF
惕 惖 U+60D5 U+60D6
惛 惽 U+60DB U+60FD
惜 𢡽 U+60DC U+2287D
惝 𢠵 U+60DD U+22835
惟 𢛧 U+60DF U+226E7
惠 恵 U+60E0 U+6075
惠 僡 U+60E0 U+50E1
惠 𠅤 U+60E0 U+20164
惡 悪 U+60E1 U+60AA
惡 𢙣 U+60E1 U+22663
惡 僫 U+60E1 U+50EB
惰 𢞑 U+60F0 U+22791
惰 𢡢 U+60F0 U+22862
惱 𢚰 U+60F1 U+226B0
惱 𢙉 U+60F1 U+22649
惱 𤹻 U+60F1 U+24E7B
惱 㛴 U+60F1 U+36F4
惸 𡞦 U+60F8 U+217A6
惺 𢜫 U+60FA U+2272B
惻 𢝔 U+60FB U+22754
愁 𢛱 U+6101 U+226F1
愆 𠍴 U+6106 U+20374
愆 𠎱 U+6106 U+203B1
愆 𠎝 U+6106 U+2039D
愆 諐 U+6106 U+8AD0
愆 𠏘 U+6106 U+203D8
愆 𠐨 U+6106 U+20428
愆 𢝐 U+6106 U+22750
愍 惽 U+610D U+60FD
愍 㥸 U+610D U+3978
愍 𢞰 U+610D U+227B0
愍 慜 U+610D U+615C
愓 𢠽 U+6113 U+2283D
愕 㦍 U+6115 U+398D
愛 𢛭 U+611B U+226ED
愛 𢟪 U+611B U+227EA
愛 𢙴 U+611B U+22674
愛 𢜤 U+611B U+22724
愜 㥦 U+611C U+3966
感 𢦡 U+611F U+229A1
愨 慤 U+6128 U+6164
愯 𢥠 U+612F U+22960
慁 㥵 U+6141 U+3975
慈 㤵 U+6148 U+3935
態 㑷 U+614B U+3477
慌 㤺 U+614C U+393A
慍 愠 U+614D U+6120
慎 愼 U+614E U+613C
慎 𦚉 U+614E U+26689
慕 𢟽 U+6155 U+227FD
慘 𢡖 U+6158 U+22856
慚 慙 U+615A U+6159
慟 憅 U+615F U+6185
慢 𢢔 U+6162 U+22894
慰 𢠢 U+6170 U+22822
慶 𢙎 U+6176 U+2264E
慷 忼 U+6177 U+5FFC
慺 𢡌 U+617A U+2284C
慼 慽 U+617C U+617D
憀 𢟺 U+6180 U+227FA
憀 𣽓 U+6180 U+23F53
憂 𠪍 U+6182 U+20A8D
憂 𢟜 U+6182 U+227DC
憊 𤸶 U+618A U+24E36
憊 𢟡 U+618A U+227E1
憋 𢠳 U+618B U+22833
憐 㥕 U+6190 U+3955
憑 𠙥 U+6191 U+20665
憑 凴 U+6191 U+51F4
憑 𠙖 U+6191 U+20656
憑 慿 U+6191 U+617F
憑 𠗦 U+6191 U+205E6
憒 𢤳 U+6192 U+22933
憔 顦 U+6194 U+9866
憖 慭 U+6196 U+616D
憚 𢠸 U+619A U+22838
憡 𢙀 U+61A1 U+22640
憤 𢤬 U+61A4 U+2292C
憨 𤺍 U+61A8 U+24E8D
憨 𠐣 U+61A8 U+20423
憩 憇 U+61A9 U+6187
憩 𢠾 U+61A9 U+2283E
憪 𢡿 U+61AA U+2287F
憪 𢢀 U+61AA U+22880
憫 𢡥 U+61AB U+22865
憫 𢡻 U+61AB U+2287B
憮 㒇 U+61AE U+3487
憯 𢡚 U+61AF U+2285A
憯 㦧 U+61AF U+39A7
懂 𢤦 U+61C2 U+22926
懅 𢟶 U+61C5 U+227F6
懇 𢢽 U+61C7 U+228BD
懇 𢡆 U+61C7 U+22846
懈 𢢣 U+61C8 U+228A3
應 譍 U+61C9 U+8B4D
應 応 U+61C9 U+5FDC
懊 㤇 U+61CA U+3907
懋 𢠘 U+61CB U+22818
懍 𢤭 U+61CD U+2292D
懣 㦖 U+61E3 U+3996
懦 𢡼 U+61E6 U+2287C
懲 惩 U+61F2 U+60E9
懵 懜 U+61F5 U+61DC
懶 嬾 U+61F6 U+5B3E
懶 孄 U+61F6 U+5B44
懶 㦨 U+61F6 U+39A8
懶 𢤿 U+61F6 U+2293F
懺 懴 U+61FA U+61F4
懼 𢣷 U+61FC U+228F7
懼 惧 U+61FC U+60E7
懼 愳 U+61FC U+6133
懿 𡕆 U+61FF U+21546
懿 㦉 U+61FF U+3989
戀 恋 U+6200 U+604B
戇 戅 U+6207 U+6205
戎 𢦦 U+620E U+229A6
成 𢦩 U+6210 U+229A9
我 𨈟 U+6211 U+2821F
我 𠨂 U+6211 U+20A02
我 𢦖 U+6211 U+22996
戒 𢦬 U+6212 U+229AC
戒 𢦶 U+6212 U+229B6
戒 𢦥 U+6212 U+229A5
戕 𢦤 U+6215 U+229A4
或 𢈿 U+6216 U+2223F
或 㦯 U+6216 U+39AF
戛 戞 U+621B U+621E
戟 𢧢 U+621F U+229E2
戟 㦸 U+621F U+39B8
戟 屰 U+621F U+5C70
截 𢧵 U+622A U+229F5
戮 𡠢 U+622E U+21822
戰 𡃣 U+6230 U+210E3
戰 戦 U+6230 U+6226
戰 𣥭 U+6230 U+2396D
戰 𢧐 U+6230 U+229D0
戲 戱 U+6232 U+6231
戲 戯 U+6232 U+622F
戴 𢨇 U+6234 U+22A07
戶 戸 U+6236 U+6238
戶 户 U+6236 U+6237
戶 㦿 U+6236 U+39BF
戺 𢨪 U+623A U+22A2A
戽 𡰷 U+623D U+21C37
戽 𢨦 U+623D U+22A26
戾 戻 U+623E U+623B
所 𢨷 U+6240 U+22A37
扁 𡲜 U+6241 U+21C9C
扃 𢇺 U+6243 U+221FA
扈 𡴱 U+6248 U+21D31
扊 扅 U+624A U+6245
手 𠂿 U+624B U+200BF
扞 擀 U+625E U+64C0
扠 𢹓 U+6260 U+22E53
扦 𢳍 U+6266 U+22CCD
扶 𢱿 U+6276 U+22C7F
批 𢱧 U+6279 U+22C67
扼 㧖 U+627C U+39D6
承 𢪐 U+627F U+22A90
抉 刔 U+6289 U+5214
把 𢺞 U+628A U+22E9E
抌 𢪨 U+628C U+22AA8
抑 𢬃 U+6291 U+22B03
投 𢫹 U+6295 U+22AF9
折 𣂫 U+6298 U+230AB
折 𣂚 U+6298 U+2309A
抩 𢪈 U+62A9 U+22A88
抪 𢬾 U+62AA U+22B3E
披 㓟 U+62AB U+34DF
抬 擡 U+62AC U+64E1
抱 𢫎 U+62B1 U+22ACE
抱 𢬘 U+62B1 U+22B18
抵 𠥯 U+62B5 U+2096F
抵 𢪔 U+62B5 U+22A94
抽 𢭆 U+62BD U+22B46
抿 㨉 U+62BF U+3A09
拂 払 U+62C2 U+6255
拇 𧿹 U+62C7 U+27FF9
拍 𢫦 U+62CD U+22AE6
拓 摕 U+62D3 U+6455
拔 𢬌 U+62D4 U+22B0C
拔 抜 U+62D4 U+629C
拔 拔 U+62D4 U+2F8B6
拔 𢪺 U+62D4 U+22ABA
拔 㧞 U+62D4 U+39DE
拖 拕 U+62D6 U+62D5
拖 𢫌 U+62D6 U+22ACC
拗 抝 U+62D7 U+629D
拘 抅 U+62D8 U+6285
拙 䂐 U+62D9 U+4090
拜 拝 U+62DC U+62DD
拜 𡴬 U+62DC U+21D2C
括 𢬸 U+62EC U+22B38
拭 𢂑 U+62ED U+22091
拮 𢮌 U+62EE U+22B8C
拯 𢮋 U+62EF U+22B8B
拯 抍 U+62EF U+628D
拲 㭟 U+62F2 U+3B5F
拳 㩲 U+62F3 U+3A72
拳 𢮙 U+62F3 U+22B99
拶 拃 U+62F6 U+62C3
拶 㭮 U+62F6 U+3B6E
挃 𥡫 U+6303 U+2586B
挃 𢰗 U+6303 U+22C17
指 𢫾 U+6307 U+22AFE
挈 𢲞 U+6308 U+22C9E
挌 𢼛 U+630C U+22F1B
挑 𢬹 U+6311 U+22B39
挩 𢬁 U+6329 U+22B01
挬 𢰏 U+632C U+22C0F
振 𢈫 U+632F U+2222B
挲 𢶌 U+6332 U+22D8C
挲 挱 U+6332 U+6331
挽 𢱍 U+633D U+22C4D
捃 𢹲 U+6343 U+22E72
捅 𢳟 U+6345 U+22CDF
捊 㩠 U+634A U+3A60
捋 寽 U+634B U+5BFD
捏 揑 U+634F U+63D1
捭 𢬽 U+636D U+22B3D
捲 巻 U+6372 U+5DFB
捵 䥀 U+6375 U+4940
捷 㨗 U+6377 U+3A17
捽 𢪄 U+637D U+22A84
掌 𤓯 U+638C U+244EF
掐 𠜼 U+6390 U+2073C
掠 㨼 U+63A0 U+3A3C
掠 𢱊 U+63A0 U+22C4A
探 𢲘 U+63A2 U+22C98
掣 𢮓 U+63A3 U+22B93
掣 𢊏 U+63A3 U+2228F
掩 揞 U+63A9 U+63DE
掬 𥸭 U+63AC U+25E2D
揃 㨵 U+63C3 U+3A35
揃 𢶕 U+63C3 U+22D95
揄 𢶖 U+63C4 U+22D96
插 揷 U+63D2 U+63F7
插 挿 U+63D2 U+633F
插 𢰔 U+63D2 U+22C14
揔 捴 U+63D4 U+6374
揔 惣 U+63D4 U+60E3
揖 𢱼 U+63D6 U+22C7C
揖 撎 U+63D6 U+648E
揖 𢯇 U+63D6 U+22BC7
揚 𢾙 U+63DA U+22F99
揚 敭 U+63DA U+656D
揚 𠭲 U+63DA U+20B72
握 𦥆 U+63E1 U+26946
揣 𢭍 U+63E3 U+22B4D
揭 掲 U+63ED U+63B2
揭 𢶆 U+63ED U+22D86
揮 𢱳 U+63EE U+22C73
揯 搄 U+63EF U+6404
揯 𢬎 U+63EF U+22B0E
揲 𢮕 U+63F2 U+22B95
揶 捓 U+63F6 U+6353
搉 㩁 U+6409 U+3A41
搊 𢮢 U+640A U+22BA2
搊 𢬆 U+640A U+22B06
搊 𢬟 U+640A U+22B1F
搋 𢯯 U+640B U+22BEF
搒 挷 U+6412 U+6337
搔 𢳰 U+6414 U+22CF0
搔 掻 U+6414 U+63BB
搔 𤔢 U+6414 U+24522
搖 摇 U+6416 U+6447
搖 揺 U+6416 U+63FA
搜 𢯱 U+641C U+22BF1
搜 摉 U+641C U+6449
搜 𢲷 U+641C U+22CB7
搜 捜 U+641C U+635C
搣 𢷄 U+6423 U+22DC4
搥 𢮒 U+6425 U+22B92
搪 傏 U+642A U+508F
摑 𢧷 U+6451 U+229F7
摔 𨄮 U+6454 U+2812E
摘 𢸈 U+6458 U+22E08
摝 𢮑 U+645D U+22B91
摠 𢰾 U+6460 U+22C3E
摩 𢣾 U+6469 U+228FE
摩 擵 U+6469 U+64F5
摮 𢳆 U+646E U+22CC6
摹 𢸆 U+6479 U+22E06
摻 撡 U+647B U+64A1
摽 𢹰 U+647D U+22E70
摽 𢶏 U+647D U+22D8F
撇 撆 U+6487 U+6486
撊 𢵧 U+648A U+22D67
撐 撑 U+6490 U+6491
撐 𢴤 U+6490 U+22D24
撐 𣥺 U+6490 U+2397A
撟 𢱪 U+649F U+22C6A
撫 捬 U+64AB U+636C
播 𢿥 U+64AD U+22FE5
撮 𢲻 U+64AE U+22CBB
撰 𢰅 U+64B0 U+22C05
撲 𢷏 U+64B2 U+22DCF
撳 𢵡 U+64B3 U+22D61
撳 搇 U+64B3 U+6407
撻 𢺂 U+64BB U+22E82
撻 𢽞 U+64BB U+22F5E
擁 𢹭 U+64C1 U+22E6D
擁 𢹬 U+64C1 U+22E6C
擁 𢺠 U+64C1 U+22EA0
擁 𢶜 U+64C1 U+22D9C
擁 㨣 U+64C1 U+3A23
擂 𢺢 U+64C2 U+22EA2
擅 𢫔 U+64C5 U+22AD4
擇 択 U+64C7 U+629E
擊 撃 U+64CA U+6483
擎 㢣 U+64CE U+38A3
擒 㩒 U+64D2 U+3A52
擒 捦 U+64D2 U+6366
擔 担 U+64D4 U+62C5
據 拠 U+64DA U+62E0
據 㩀 U+64DA U+3A40
據 𢴃 U+64DA U+22D03
據 㨿 U+64DA U+3A3F
擯 𢷤 U+64EF U+22DE4
擴 㨯 U+64F4 U+3A2F
擸 㧜 U+64F8 U+39DC
擾 𢺕 U+64FE U+22E95
攀 㐴 U+6500 U+3434
攕 㩥 U+6515 U+3A65
攘 𣀮 U+6518 U+2302E
攜 㩗 U+651C U+3A57
攜 𢹂 U+651C U+22E42
攜 携 U+651C U+643A
攜 擕 U+651C U+64D5
攜 㩦 U+651C U+3A66
攝 摂 U+651D U+6442
攢 攅 U+6522 U+6505
攥 揝 U+6525 U+63DD
攫 㸕 U+652B U+3E15
攬 擥 U+652C U+64E5
攬 㩜 U+652C U+3A5C
支 搘 U+652F U+6418
支 𠦙 U+652F U+20999
攲 𢻪 U+6532 U+22EEA
攴 攵 U+6534 U+6535
收 収 U+6536 U+53CE
收 𠬧 U+6536 U+20B27
收 㧃 U+6536 U+39C3
改 𨸩 U+6539 U+28E29
敆 㪉 U+6546 U+3A89
效 俲 U+6548 U+4FF2
效 傚 U+6548 U+509A
效 効 U+6548 U+52B9
敉 侎 U+6549 U+4F8E
敏 勄 U+654F U+52C4
救 𣪋 U+6551 U+23A8B
救 𧘶 U+6551 U+27636
敓 敚 U+6553 U+655A
敕 𠡠 U+6555 U+20860
敕 勅 U+6555 U+52C5
敕 勑 U+6555 U+52D1
敖 𢾕 U+6556 U+22F95
敗 䢙 U+6557 U+4899
敘 叙 U+6558 U+53D9
敘 敍 U+6558 U+654D
教 𧧿 U+6559 U+279FF
教 敎 U+6559 U+654E
敝 㡀 U+655D U+3840
敢 𢽿 U+6562 U+22F7F
敢 𢼿 U+6562 U+22F3F
敢 𠭖 U+6562 U+20B56
散 𣪚 U+6563 U+23A9A
散 㪚 U+6563 U+3A9A
散 㪔 U+6563 U+3A94
散 𢿨 U+6563 U+22FE8
散 𣀙 U+6563 U+23019
敦 𣀦 U+6566 U+23026
敦 𠧉 U+6566 U+209C9
敦 㪟 U+6566 U+3A9F
敧 𢽽 U+6567 U+22F7D
敪 敠 U+656A U+6560
敬 𢿩 U+656C U+22FE9
敲 䯨 U+6572 U+4BE8
敲 𩫈 U+6572 U+29AC8
整 愸 U+6574 U+6138
整 𢿫 U+6574 U+22FEB
整 𠢫 U+6574 U+208AB
敷 旉 U+6577 U+65C9
敷 𢾭 U+6577 U+22FAD
數 𢿘 U+6578 U+22FD8
數 数 U+6578 U+6570
敻 𤔫 U+657B U+2452B
敻 夐 U+657B U+5910
敿 敽 U+657F U+657D
斁 𤢕 U+6581 U+24895
斁 𣀇 U+6581 U+23007
斄 𠩬 U+6584 U+20A6C
斄 𣀗 U+6584 U+23017
文 彣 U+6587 U+5F63
斕 𢿻 U+6595 U+22FFB
斗 㪷 U+6597 U+3AB7
料 䉼 U+6599 U+427C
斛 㪶 U+659B U+3AB6
斝 斚 U+659D U+659A
斞 㔱 U+659E U+3531
斟 㪸 U+659F U+3AB8
斟 㘰 U+659F U+3630
斥 𠩋 U+65A5 U+20A4B
斥 㡿 U+65A5 U+387F
斫 𣛰 U+65AB U+236F0
斫 𣚰 U+65AB U+236B0
斮 𢧉 U+65AE U+229C9
斯 𣂕 U+65AF U+23095
新 𢀝 U+65B0 U+2201D
斲 𣃆 U+65B2 U+230C6
斲 㓸 U+65B2 U+34F8
斲 𣃋 U+65B2 U+230CB
斲 𠠇 U+65B2 U+20807
斲 斵 U+65B2 U+65B5
斲 𣂪 U+65B2 U+230AA
斲 𣃂 U+65B2 U+230C2
斷 𠝅 U+65B7 U+20745
斷 断 U+65B7 U+65AD
斷 㫁 U+65B7 U+3AC1
斷 𠜷 U+65B7 U+20737
斸 𣃁 U+65B8 U+230C1
方 𤙗 U+65B9 U+24657
施 𠤒 U+65BD U+20912
施 𠇜 U+65BD U+201DC
旁 㝑 U+65C1 U+3751
旁 㫄 U+65C1 U+3AC4
旃 㫋 U+65C3 U+3ACB
旃 𣃼 U+65C3 U+230FC
旅 𣥏 U+65C5 U+2394F
旅 𢮯 U+65C5 U+22BAF
旅 𧙿 U+65C5 U+2767F
旅 𣄆 U+65C5 U+23106
旅 𢬜 U+65C5 U+22B1C
旆 斾 U+65C6 U+65BE
旋 𢭀 U+65CB U+22B40
族 㞺 U+65CF U+37BA
旒 旈 U+65D2 U+65C8
旖 㫊 U+65D6 U+3ACA
旞 𣄚 U+65DE U+2311A
无 𠑶 U+65E0 U+20476
旡 𠘸 U+65E1 U+20638
既 旣 U+65E2 U+65E3
日 𡆸 U+65E5 U+211B8
旨 𣥜 U+65E8 U+2395C
旨 𠮛 U+65E8 U+20B9B
旨 𠩊 U+65E8 U+20A4A
旨 𣅀 U+65E8 U+23140
旨 㫖 U+65E8 U+3AD6
旬 𠣡 U+65EC U+208E1
旬 𠣙 U+65EC U+208D9
旰 𣈨 U+65F0 U+23228
昂 昻 U+6602 U+663B
昃 𣅳 U+6603 U+23173
昃 𣅦 U+6603 U+23166
昅 㬤 U+6605 U+3B24
昉 昞 U+6609 U+661E
昌 冐 U+660C U+5190
明 朙 U+660E U+6719
昏 昬 U+660F U+662C
昒 𣇤 U+6612 U+231E4
昔 㫺 U+6614 U+3AFA
星 㽮 U+661F U+3F6E
星 曐 U+661F U+66D0
星 𠻖 U+661F U+20ED6
映 暎 U+6620 U+668E
映 𦴤 U+6620 U+26D24
昤 㬡 U+6624 U+3B21
昤 𣌟 U+6624 U+2331F
春 萅 U+6625 U+8405
春 𣆊 U+6625 U+2318A
春 旾 U+6625 U+65FE
昧 𣆜 U+6627 U+2319C
昫 㫬 U+662B U+3AEC
是 𣆞 U+662F U+2319E
是 昰 U+662F U+6630
昶 㫤 U+6636 U+3AE4
時 旹 U+6642 U+65F9
時 时 U+6642 U+65F6
晃 晄 U+6643 U+6644
晃 𠒼 U+6643 U+204BC
晉 㬜 U+6649 U+3B1C
晉 晋 U+6649 U+664B
晉 𣈆 U+6649 U+23206
晒 㬠 U+6652 U+3B20
晒 曬 U+6652 U+66EC
晚 𣇋 U+665A U+231CB
晚 晩 U+665A U+6669
晚 𣆶 U+665A U+231B6
晚 𣆛 U+665A U+2319B
晝 𣅯 U+665D U+2316F
晤 𣅎 U+6664 U+2314E
晨 𠔹 U+6668 U+20539
晨 㫳 U+6668 U+3AF3
晰 晳 U+6670 U+6673
智 𥏼 U+667A U+253FC
暋 敃 U+668B U+6543
暍 㷎 U+668D U+3DCE
暖 𤏙 U+6696 U+243D9
暖 㬉 U+6696 U+3B09
暖 𣊵 U+6696 U+232B5
暠 𣉞 U+66A0 U+2325E
暨 曁 U+66A8 U+66C1
暴 㬥 U+66B4 U+3B25
暴 𣊻 U+66B4 U+232BB
曀 𪾼 U+66C0 U+2AFBC
曄 曅 U+66C4 U+66C5
曆 暦 U+66C6 U+66A6
曆 𢍷 U+66C6 U+22377
曉 暁 U+66C9 U+6681
曖 瞹 U+66D6 U+77B9
曝 𣌑 U+66DD U+23311
曠 昿 U+66E0 U+663F
曠 𣋷 U+66E0 U+232F7
曠 𣊥 U+66E0 U+232A5
曣 㬫 U+66E3 U+3B2B
曦 㬢 U+66E6 U+3B22
曳 曵 U+66F3 U+66F5
更 㪅 U+66F4 U+3A85
曶 㫚 U+66F6 U+3ADA
曹 𣍘 U+66F9 U+23358
曹 曺 U+66F9 U+66FA
曼 㬅 U+66FC U+3B05
曾 曽 U+66FE U+66FD
替 㬱 U+66FF U+3B31
最 㝡 U+6700 U+3761
最 𣤜 U+6700 U+2391C
朁 㬱 U+6701 U+3B31
會 会 U+6703 U+4F1A
會 㞧 U+6703 U+37A7
會 𠃐 U+6703 U+200D0
會 𣌭 U+6703 U+2332D
會 㣛 U+6703 U+38DB
會 㑹 U+6703 U+3479
服 𣍞 U+670D U+2335E
服 𦨕 U+670D U+26A15
朏 𣍧 U+670F U+23367
朐 鸜 U+6710 U+9E1C
朔 𦙚 U+6714 U+2665A
朔 𣍮 U+6714 U+2336E
朕 𦩎 U+6715 U+26A4E
朕 𦨶 U+6715 U+26A36
朗 朖 U+6717 U+6716
朗 脼 U+6717 U+813C
望 𥩿 U+671B U+25A7F
望 𦣠 U+671B U+268E0
朝 𦩻 U+671D U+26A7B
期 朞 U+671F U+671E
期 𠔸 U+671F U+20538
本 㮺 U+672C U+3BBA
本 夲 U+672C U+5932
札 劄 U+672D U+5284
札 箚 U+672D U+7B9A
朮 术 U+672E U+672F
朵 朶 U+6735 U+6736
朵 㙐 U+6735 U+3650
朻 𣎹 U+673B U+233B9
李 䤚 U+674E U+491A
李 𣒶 U+674E U+234B6
村 邨 U+6751 U+90A8
杓 𣏐 U+6753 U+233D0
杯 𠤯 U+676F U+2092F
杰 𣎶 U+6770 U+233B6
杰 𤇍 U+6770 U+241CD
東 东 U+6771 U+4E1C
杴 𣞘 U+6774 U+23798
杷 𣠽 U+6777 U+2383D
松 枩 U+677E U+67A9
松 㮤 U+677E U+3BA4
松 梥 U+677E U+68A5
枅 𣓖 U+6785 U+234D6
枉 𣒈 U+6789 U+23488
析 𣂔 U+6790 U+23094
析 㭊 U+6790 U+3B4A
枕 𣏝 U+6795 U+233DD
果 菓 U+679C U+83D3
果 𣐭 U+679C U+2342D
枯 𢫈 U+67AF U+22AC8
枲 葈 U+67B2 U+8448
枴 柺 U+67B4 U+67FA
架 榢 U+67B6 U+69A2
架 𣕧 U+67B6 U+23567
柄 棅 U+67C4 U+68C5
柏 栢 U+67CF U+6822
某 厶 U+67D0 U+53B6
染 𣑱 U+67D3 U+23471
柔 𣐱 U+67D4 U+23431
柙 㘡 U+67D9 U+3621
柚 櫾 U+67DA U+6AFE
柝 𣔳 U+67DD U+23533
柝 𣐼 U+67DD U+2343C
柝 𣝔 U+67DD U+23754
柝 𣟄 U+67DD U+237C4
查 査 U+67E5 U+67FB
柩 柾 U+67E9 U+67FE
柬 𥳑 U+67EC U+25CD1
柰 㮈 U+67F0 U+3B88
柰 㮏 U+67F0 U+3B8F
柳 𣓠 U+67F3 U+234E0
柴 𡍥 U+67F4 U+21365
柵 𣑭 U+67F5 U+2346D
柿 枾 U+67FF U+67BE
栒 𣕍 U+6812 U+2354D
栗 㮚 U+6817 U+3B9A
校 挍 U+6821 U+630D
校 𤲽 U+6821 U+24CBD
栴 㮵 U+6834 U+3BB5
栴 𣒰 U+6834 U+234B0
核 𣝗 U+6838 U+23757
栽 𥯒 U+683D U+25BD2
栽 𣖋 U+683D U+2358B
桀 㘶 U+6840 U+3636
桃 𢬹 U+6843 U+22B39
桃 𣑯 U+6843 U+2346F
桑 桒 U+6851 U+6852
桑 𠭌 U+6851 U+20B4C
桑 𦶿 U+6851 U+26DBF
桑 𣕐 U+6851 U+23550
桔 㮮 U+6854 U+3BAE
桔 𣚃 U+6854 U+23683
桮 𦈧 U+686E U+26227
桹 樃 U+6879 U+6A03
梁 樑 U+6881 U+6A11
梅 槑 U+6885 U+69D1
梅 楳 U+6885 U+6973
梐 㯇 U+6890 U+3BC7
梔 栀 U+6894 U+6800
梗 𣖀 U+6897 U+23580
條 条 U+689D U+6761
梟 䲷 U+689F U+4CB7
梨 棃 U+68A8 U+68C3
梳 㧧 U+68B3 U+39E7
梵 𣑽 U+68B5 U+2347D
棄 弃 U+68C4 U+5F03
棋 碁 U+68CB U+7881
棋 棊 U+68CB U+68CA
棑 篺 U+68D1 U+7BFA
棒 㭋 U+68D2 U+3B4B
棓 𣘙 U+68D3 U+23619
棓 㯁 U+68D3 U+3BC1
棕 椶 U+68D5 U+6936
棕 㯶 U+68D5 U+3BF6
棗 𥸮 U+68D7 U+25E2E
棗 𠐇 U+68D7 U+20407
棗 𠂲 U+68D7 U+200B2
棘 𣗥 U+68D8 U+235E5
棡 㭎 U+68E1 U+3B4E
棧 桟 U+68E7 U+685F
棨 𣘼 U+68E8 U+2363C
森 㮱 U+68EE U+3BB1
棺 𣑄 U+68FA U+23444
植 㯰 U+690D U+3BF0
椒 𣓙 U+6912 U+234D9
椰 㭨 U+6930 U+3B68
楂 揸 U+6942 U+63F8
楂 摣 U+6942 U+6463
楚 椘 U+695A U+6918
楠 枏 U+6960 U+678F
楠 𣑮 U+6960 U+2346E
楠 𣏨 U+6960 U+233E8
楠 枬 U+6960 U+67AC
楫 檝 U+696B U+6A9D
楫 艥 U+696B U+8265
業 𤎸 U+696D U+243B8
楯 𣛝 U+696F U+236DD
楶 㮞 U+6976 U+3B9E
楷 𣗀 U+6977 U+235C0
概 槪 U+6982 U+69EA
概 㮣 U+6982 U+3BA3
概 槩 U+6982 U+69E9
榆 楡 U+6986 U+6961
榓 樒 U+6993 U+6A12
榓 櫁 U+6993 U+6AC1
榛 𣝾 U+699B U+2377E
榛 𦿒 U+699B U+26FD2
榛 亲 U+699B U+4EB2
榛 𣐽 U+699B U+2343D
榛 㰉 U+699B U+3C09
榜 㮄 U+699C U+3B84
榦 𠏉 U+69A6 U+203C9
榩 𣖳 U+69A9 U+235B3
