㖈 䎛 U+3588 U+439B
刪 删 U+522A U+5220
刪 𠜂 U+522A U+20702
刮 𠜜 U+522E U+2071C
刱 𠛝 U+5231 U+206DD
刱 剏 U+5231 U+524F
制 𠜔 U+5236 U+20714
制 𠝦 U+5236 U+20766
制 𠛐 U+5236 U+206D0
制 𠝁 U+5236 U+20741
刷 㕞 U+5237 U+355E
券 劵 U+5238 U+52B5
刺 刾 U+523A U+523E
刺 㓨 U+523A U+34E8
刻 𠞫 U+523B U+207AB
刻 𠚰 U+523B U+206B0
刻 𠜇 U+523B U+20707
剁 刴 U+5241 U+5234
剃 𩮜 U+5243 U+29B9C
剃 鬀 U+5243 U+9B00
則 𠟔 U+5247 U+207D4
則 𠟭 U+5247 U+207ED
則 𠞋 U+5247 U+2078B
剋 尅 U+524B U+5C05
前 歬 U+524D U+6B6C
前 𣥑 U+524D U+23951
前 𣦃 U+524D U+23983
前 𦮯 U+524D U+26BAF
剎 𠛴 U+524E U+206F4
剎 刹 U+524E U+5239
剒 𠝖 U+5252 U+20756
剔 𠜓 U+5254 U+20713
剔 𠠡 U+5254 U+20821
剕 䠊 U+5255 U+480A
剖 𠞌 U+5256 U+2078C
剚 𨧫 U+525A U+289EB
剛 𠜛 U+525B U+2071B
剛 𠇙 U+525B U+201D9
剛 𠇝 U+525B U+201DD
剜 𠛠 U+525C U+206E0
剝 𠚪 U+525D U+206AA
剩 剰 U+5269 U+5270
割 𠛷 U+5272 U+206F7
割 㓣 U+5272 U+34E3
割 𠛛 U+5272 U+206DB
創 剏 U+5275 U+524F
創 剙 U+5275 U+5259
創 𠛲 U+5275 U+206F2
創 𠝀 U+5275 U+20740
創 𠟐 U+5275 U+207D0
創 刅 U+5275 U+5205
剷 剗 U+5277 U+5257
剺 𠢐 U+527A U+20890
剽 𡬽 U+527D U+21B3D
剿 𠞰 U+527F U+207B0
劂 𠜾 U+5282 U+2073E
劃 𠟱 U+5283 U+207F1
劉 刘 U+5289 U+5218
劉 𠭱 U+5289 U+20B71
劍 𠠆 U+528D U+20806
劍 劒 U+528D U+5292
劍 劔 U+528D U+5294
劍 劎 U+528D U+528E
劍 釖 U+528D U+91D6
劍 剣 U+528D U+5263
劑 剤 U+5291 U+5264
劑 𠜸 U+5291 U+20738
劓 㓷 U+5293 U+34F7
劖 𠠤 U+5296 U+20824
劘 𠞥 U+5298 U+207A5
劙 𠠫 U+5299 U+2082B
力 𠠲 U+529B U+20832
功 糼 U+529F U+7CFC
功 㓛 U+529F U+34DB
劫 刦 U+52AB U+5226
劫 刼 U+52AB U+523C
劫 刧 U+52AB U+5227
劾 𠜨 U+52BE U+20728
勃 㔜 U+52C3 U+351C
勃 㪍 U+52C3 U+3A8D
勇 勈 U+52C7 U+52C8
勇 𢦨 U+52C7 U+229A8
勇 㦷 U+52C7 U+39B7
動 𨔝 U+52D5 U+2851D
務 㳇 U+52D9 U+3CC7
勛 勳 U+52DB U+52F3
勛 𠢼 U+52DB U+208BC
勛 勲 U+52DB U+52F2
勝 𠢧 U+52DD U+208A7
勝 𠅫 U+52DD U+2016B
勞 劳 U+52DE U+52B3
勞 𠣁 U+52DE U+208C1
勞 𣬄 U+52DE U+23B04
勢 㔟 U+52E2 U+351F
勩 𠡫 U+52E9 U+2086B
勰 𢣢 U+52F0 U+228E2
勵 劢 U+52F5 U+52A2
勵 励 U+52F5 U+52B1
勸 劝 U+52F8 U+529D
勸 勧 U+52F8 U+52E7
勻 匀 U+52FB U+5300
匆 悤 U+5306 U+60A4
匆 怱 U+5306 U+6031
匈 胷 U+5308 U+80F7
匐 𨄑 U+5310 U+28111
化 𠤎 U+5316 U+2090E
化 𠯒 U+5316 U+20BD2
化 𠏁 U+5316 U+203C1
北 𧉥 U+5317 U+27265
匙 𢁈 U+5319 U+22048
匚 𠤬 U+531A U+2092C
匜 𠤷 U+531C U+20937
匝 迊 U+531D U+8FCA
匝 帀 U+531D U+5E00
匣 㭱 U+5323 U+3B71
匯 滙 U+532F U+6ED9
區 𥕥 U+5340 U+25565
升 㚈 U+5347 U+3688
卉 𠦄 U+5349 U+20984
卌 𠦜 U+534C U+2099C
卌 𠦌 U+534C U+2098C
卑 𤰞 U+5351 U+24C1E
卒 卆 U+5352 U+5346
卒 䘚 U+5352 U+461A
卓 𠤞 U+5353 U+2091E
卓 𠤚 U+5353 U+2091A
卓 𠤟 U+5353 U+2091F
協 旪 U+5354 U+65EA
協 恊 U+5354 U+604A
協 𠦢 U+5354 U+209A2
南 𡴖 U+5357 U+21D16
博 愽 U+535A U+613D
卜 𠁡 U+535C U+20061
卣 𠧪 U+5363 U+209EA
卬 卭 U+536C U+536D
卮 巵 U+536E U+5DF5
卯 𤕰 U+536F U+24570
卯 戼 U+536F U+623C
印 𠘄 U+5370 U+20604
危 𡵁 U+5371 U+21D41
即 卽 U+5373 U+537D
卵 𡖉 U+5375 U+21589
卵 𤓲 U+5375 U+244F2
卷 㢧 U+5377 U+38A7
卸 缷 U+5378 U+7F37
卸 䣃 U+5378 U+48C3
卹 𨜧 U+5379 U+28727
卹 䘏 U+5379 U+460F
卹 𨟰 U+5379 U+287F0
卻 却 U+537B U+5374
卻 𨚫 U+537B U+286AB
卼 𠨜 U+537C U+20A1C
卼 𠒄 U+537C U+20484
厄 𢀴 U+5384 U+22034
厄 戹 U+5384 U+6239
厄 𠂬 U+5384 U+200AC
厚 𣆪 U+539A U+231AA
原 𠪰 U+539F U+20AB0
原 𠪥 U+539F U+20AA5
厥 𠪼 U+53A5 U+20ABC
厭 𢣽 U+53AD U+228FD
厭 猒 U+53AD U+7312
厭 𤟶 U+53AD U+247F6
厭 𤡜 U+53AD U+2485C
厲 𠪄 U+53B2 U+20A84
參 薓 U+53C3 U+8593
參 𠫵 U+53C3 U+20AF5
參 㕘 U+53C3 U+3558
參 叄 U+53C3 U+53C4
參 叅 U+53C3 U+53C5
參 𠫰 U+53C3 U+20AF0
及 𢎜 U+53CA U+2239C
及 𨕤 U+53CA U+28564
友 𠬺 U+53CB U+20B3A
友 㕛 U+53CB U+355B
反 𠬡 U+53CD U+20B21
叔 尗 U+53D4 U+5C17
叔 𠦑 U+53D4 U+20991
叔 𠁮 U+53D4 U+2006E
受 𠭧 U+53D7 U+20B67
叟 𠬲 U+53DF U+20B32
叟 叜 U+53DF U+53DC
叟 𡨝 U+53DF U+21A1D
叟 傁 U+53DF U+5081
叟 𠊯 U+53DF U+202AF
叟 𠋢 U+53DF U+202E2
叡 𠮉 U+53E1 U+20B89
叡 壡 U+53E1 U+58E1
叢 樷 U+53E2 U+6A37
口 𠙵 U+53E3 U+20675
