# CB码, 原文字形, 近似字形, 正字, 组字式, 词频
25906,𢢔,,,[慢-又+万],43
28485,,𨅶,,[跳-兆+(參-(彰-章)+小)],43
06701,𮤝,,,[門@(服-月+圭)],43
27837,𨙻,,,[邱-丘+(丹-、+一)],42
09201,𢿱,𢿨,散,[(林/月)*ㄆ],42
28897,𭻥,,暴,[田/恭],42
12656,𬼵,,,[└@(大/品)],42
27961,,,叡,[(止/(谷-口+目))*殳],42
09881,頋,,,[(厂@?)*頁],42
24816,㕓,,,[厂@墨],42
01506,𮏴,,,[卄/觔],41
25467,,沃,,[泛-之+犬],41
23028,䤜,,,[扥-(打-丁)+金],41
27603,𧀃,,,[(土/米)*(土/米)],41
21907,,恡,吝,[怪-土+(肱-月)],41
23248,𮇬,,,[(止/天)*(企-止+米)],41
18912,,癈,,[癈-殳+矢],40
26468,,㝹,,[少/(兔-、)],40
14166,,𮐋,篡,[莫/ㄙ],40
24521,𨳩,,,[門@井],40
05443,,簄,,[竺-二+(一/(尸@邑))],40
13704,𭰞,,,[淴-心+口],39
12919,,㓻,剛,[利-禾+(罩-卓+止)],39
17335,,𢂁,,[巾*勾],39
17604,⛋,,,[□@◇],39
22623,,旌,,[施-也+圭],39
27442,,薎,,[夢-夕+(夕*戈)],39
13560,𮊔,,罹,[(ㄇ@(企-止))/惟],39
30222,,緲,,[緲-目+耳],38
09197,,𣍘,曹,[(束*束)/日],38
22513,,𠬧,,[羽-?+又],38
15717,,,雜,[示*集],38
31917,,濫,,[冰-水+監],38
03746,,﨟,,[萉-巴+(日/(句-口+匕))],37
02932,𫀽,,,[禾*禺],37
32333,𫟚,,,[衣-〦+重],37
22878,𡘈,,哭,[(口*〡*人)/大],37
26810,,塩,,[(圪-乙+田)/皿],37
07747,,臈,,[膜-大+(句-口+匕)],37
03951,,薹,,[薹-吉+(其-(六-(〦-一)))],37
32407,,异,,[已/大],37
22434,,,顙,[(土/米)*頁],37
14684,,藐,,[藐-白+臼],36
28064,𡦗,,,[孑*(舄-臼+(十/田))],36
31547,,梵,,[林/(白-日+几)],36
21092,,,數,[婁*支],36
22577,戍,,,[戒-廾+人],36
06768,𮜷,,聘,[身*甹],36
15685,,𩠐,首,[巢-果+(一/目)],36
02006,𭫸,,極,[樵-隹+(口*了*又)],35
31831,,亘,,[一/且],35
